Year,Sex,Age group,Value
2010,,,
2010,Men,,
2010,Women,,
2010,,<=50,
2010,,50-54,
2010,,55-59,
2010,,60-64,
2010,,65+,
2011,,,
2011,Men,,
2011,Women,,
2011,,<=50,
2011,,50-54,
2011,,55-59,
2011,,60-64,
2011,,65+,
2012,,,
2012,Men,,
2012,Women,,
2012,,<=50,
2012,,50-54,
2012,,55-59,
2012,,60-64,
2012,,65+,
2013,,,
2013,Men,,
2013,Women,,
2013,,<=50,
2013,,50-54,
2013,,55-59,
2013,,60-64,
2013,,65+,
2014,,,93.783
2014,Men,,88.648
2014,Women,,96.117
2014,,<=50,0.002
2014,,50-54,0.192
2014,,55-59,29.668
2014,,60-64,73.17
2014,,65+,96.017
2015,,,94.083
2015,Men,,88.668
2015,Women,,96.555
2015,,<=50,0.001
2015,,50-54,0.202
2015,,55-59,30.142
2015,,60-64,73.58
2015,,65+,95.459
2016,,,94.519
2016,Men,,88.962
2016,Women,,97.066
2016,,<=50,0.001
2016,,50-54,0.161
2016,,55-59,31.087
2016,,60-64,73.979
2016,,65+,95.45
2017,,,92.814
2017,Men,,86.667
2017,Women,,95.645
2017,,<=50,0.001
2017,,50-54,0.168
2017,,55-59,28.071
2017,,60-64,73.364
2017,,65+,95.157
2018,,,90
2018,Men,,83.577
2018,Women,,92.9
2018,,<=50,0.001
2018,,50-54,0.029
2018,,55-59,23.039
2018,,60-64,71.243
2018,,65+,94.662
2019,,,93.904
2019,Men,,88.979
2019,Women,,96.126
2019,,<=50,0.001
2019,,50-54,0.03
2019,,55-59,17.539
2019,,60-64,68.885
2019,,65+,95.312
2020,,,91.9
2020,Men,,88.8
2020,Women,,93.3
2020,,<=50,0.001
2020,,50-54,0.025
2020,,55-59,11.296
2020,,60-64,68.409
2020,,65+,95.507
2021,,,93.9
2021,Men,,89.1
2021,Women,,96.3
2021,,<=50,0.001
2021,,50-54,0.018
2021,,55-59,6.052
2021,,60-64,68.5
2021,,65+,95.9
2022,,,95.3
2022,Men,,90.7
2022,Women,,97.6
2022,,<=50,0
2022,,50-54,0
2022,,55-59,0.8
2022,,60-64,68.3
2022,,65+,98
2023,,,95.3
2023,Men,,90.6
2023,Women,,97.9
2023,,<=50,0
2023,,50-54,0
2023,,55-59,0.6
2023,,60-64,62.9
2023,,65+,98.5
2024,,,96.9
2024,Men,,90.4
2024,Women,,100.5
2024,,<=50,0
2024,,50-54,0.01
2024,,55-59,0.5
2024,,60-64,56.7
2024,,65+,99
