Year,Sex,Age group,Value
2010,,,
2010,Men,,
2010,Women,,
2010,,15-34,
2010,,35-44,
2010,,45-54,
2010,,55-60,
2010,,61+,
2011,,,
2011,Men,,
2011,Women,,
2011,,15-34,
2011,,35-44,
2011,,45-54,
2011,,55-60,
2011,,61+,
2012,,,
2012,Men,,
2012,Women,,
2012,,15-34,
2012,,35-44,
2012,,45-54,
2012,,55-60,
2012,,61+,
2013,,,
2013,Men,,
2013,Women,,
2013,,15-34,
2013,,35-44,
2013,,45-54,
2013,,55-60,
2013,,61+,
2014,,,19.643
2014,Men,,14.723
2014,Women,,24.614
2014,,15-34,17.479
2014,,35-44,16.413
2014,,45-54,20.38
2014,,55-60,19.2
2014,,61+,26.8
2015,,,19.931
2015,Men,,15.12
2015,Women,,24.685
2015,,15-34,16.663
2015,,35-44,16.835
2015,,45-54,20.63
2015,,55-60,19.3
2015,,61+,27
2016,,,20.043
2016,Men,,14.949
2016,Women,,25.18
2016,,15-34,17.156
2016,,35-44,17.092
2016,,45-54,20.64
2016,,55-60,18.1
2016,,61+,24.4
2017,,,21.211
2017,Men,,15.78
2017,Women,,26.722
2017,,15-34,18.797
2017,,35-44,17.736
2017,,45-54,21.497
2017,,55-60,18.2
2017,,61+,25.5
2018,,,20.561
2018,Men,,16.116
2018,Women,,25.049
2018,,15-34,17.039
2018,,35-44,16.831
2018,,45-54,21.425
2018,,55-60,18.207
2018,,61+,20.152
2019,,,21.5
2019,Men,,16.7
2019,Women,,26.6
2019,,15-34,18
2019,,35-44,18.9
2019,,45-54,20.3
2019,,55-60,25.321
2019,,61+,41.415
2020,,,28.7
2020,Men,,22.4
2020,Women,,35.5
2020,,15-34,23.7
2020,,35-44,24.9
2020,,45-54,27.7
2020,,55-60,32.494
2020,,61+,56.697
2021,,,29.8
2021,Men,,23.6
2021,Women,,36.7
2021,,15-34,24
2021,,35-44,25.8
2021,,45-54,28.7
2021,,55-60,33.278
2021,,61+,64.076
2022,,,27.2
2022,Men,,21.2
2022,Women,,33.5
2022,,15-34,22.8
2022,,35-44,23.8
2022,,45-54,25.1
2022,,55-60,29.943
2022,,61+,54.823
2023,,,23.1
2023,Men,,18.4
2023,Women,,27.9
2023,,15-34,21.4
2023,,35-44,19.6
2023,,45-54,21.3
2023,,55-60,21.77
2023,,61+,46.233
2024,,,24.1
2024,Men,,19.7
2024,Women,,28.3
2024,,15-34,22.1
2024,,35-44,20
2024,,45-54,22.7
2024,,55-60,22.036
2024,,61+,48.977
