Year,Area of residence,"Quintile I, by area of residence",Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,"Total, quintile I",
2010,,"Urban, quintile I",
2010,,"Rural, quintile I",
2011,,,
2011,Urban,,
2011,Rural,,
2011,,"Total, quintile I",
2011,,"Urban, quintile I",
2011,,"Rural, quintile I",
2012,,,
2012,Urban,,
2012,Rural,,
2012,,"Total, quintile I",
2012,,"Urban, quintile I",
2012,,"Rural, quintile I",
2013,,,
2013,Urban,,
2013,Rural,,
2013,,"Total, quintile I",
2013,,"Urban, quintile I",
2013,,"Rural, quintile I",
2014,,,6
2014,Urban,,2.8
2014,Rural,,8.3
2014,,"Total, quintile I",12
2014,,"Urban, quintile I",10.7
2014,,"Rural, quintile I",12.3
2015,,,9.3
2015,Urban,,3.2
2015,Rural,,13.6
2015,,"Total, quintile I",18.2
2015,,"Urban, quintile I",14
2015,,"Rural, quintile I",18.8
2016,,,12.5
2016,Urban,,4.7
2016,Rural,,18.2
2016,,"Total, quintile I",23.4
2016,,"Urban, quintile I",21.5
2016,,"Rural, quintile I",23.7
2017,,,13.2
2017,Urban,,4.7
2017,Rural,,19.3
2017,,"Total, quintile I",26.5
2017,,"Urban, quintile I",16.7
2017,,"Rural, quintile I",27.9
2018,,,12.8
2018,Urban,,4.7
2018,Rural,,18.5
2018,,"Total, quintile I",27
2018,,"Urban, quintile I",17.9
2018,,"Rural, quintile I",28.6
2019,,,3.9
2019,Urban,,1.1
2019,Rural,,5.7
2019,,"Total, quintile I",9.2
2019,,"Urban, quintile I",4.9
2019,,"Rural, quintile I",9.9
2020,,,4.9
2020,Urban,,2.2
2020,Rural,,6.6
2020,,"Total, quintile I",7.7
2020,,"Urban, quintile I",7.9
2020,,"Rural, quintile I",7.7
2021,,,6.4
2021,Urban,,2.8
2021,Rural,,8.8
2021,,"Total, quintile I",12.3
2021,,"Urban, quintile I",9.3
2021,,"Rural, quintile I",12.9
2022,,,5.3
2022,Urban,,1.6
2022,Rural,,7.7
2022,,"Total, quintile I",9.8
2022,,"Urban, quintile I",5.4
2022,,"Rural, quintile I",10.7
