Year,Classes of disasters,Value
2010,,
2010,Technogenic,
2010,Natural  (by genres),
2010,Social and biological,
2010,Fires,
2011,,
2011,Technogenic,
2011,Natural  (by genres),
2011,Social and biological,
2011,Fires,
2012,,
2012,Technogenic,
2012,Natural  (by genres),
2012,Social and biological,
2012,Fires,
2013,,
2013,Technogenic,
2013,Natural  (by genres),
2013,Social and biological,
2013,Fires,
2014,,0.2
2014,Technogenic,0
2014,Natural  (by genres),0.14
2014,Social and biological,0
2014,Fires,0.05
2015,,0.32
2015,Technogenic,0
2015,Natural  (by genres),0.27
2015,Social and biological,0
2015,Fires,0.04
2016,,0.35
2016,Technogenic,0.08
2016,Natural  (by genres),0.25
2016,Social and biological,0
2016,Fires,0.03
2017,,0.27
2017,Technogenic,0
2017,Natural  (by genres),0.23
2017,Social and biological,0
2017,Fires,0.03
2018,,0.19
2018,Technogenic,0
2018,Natural  (by genres),0.16
2018,Social and biological,0
2018,Fires,0.04
2019,,0.52
2019,Technogenic,0
2019,Natural  (by genres),0.48
2019,Social and biological,0
2019,Fires,0.03
2020,,3.35
2020,Technogenic,0
2020,Natural  (by genres),3.28
2020,Social and biological,0
2020,Fires,0.7
2021,,0.31
2021,Technogenic,0
2021,Natural  (by genres),0.28
2021,Social and biological,0
2021,Fires,0.03
2022,,1.89
2022,Technogenic,0
2022,Natural  (by genres),1.86
2022,Social and biological,0
2022,Fires,0.03
2023,,0.28
2023,Technogenic,0
2023,Natural  (by genres),0.24
2023,Social and biological,0.01
2023,Fires,0.04
2024,,1.49
2024,Technogenic,0
2024,Natural  (by genres),1.44
2024,Social and biological,0
2024,Fires,0.05
2025,,0.87
2025,Technogenic,0
2025,Natural  (by genres),1.32
2025,Social and biological,0.1
2025,Fires,0.05
