Year,Subnational level,Value
2010,,
2010,first-level local government authorities ,
2010,second-level local government authorities,
2011,,
2011,first-level local government authorities ,
2011,second-level local government authorities,
2012,,
2012,first-level local government authorities ,
2012,second-level local government authorities,
2013,,
2013,first-level local government authorities ,
2013,second-level local government authorities,
2014,,
2014,first-level local government authorities ,
2014,second-level local government authorities,
2015,,
2015,first-level local government authorities ,
2015,second-level local government authorities,
2016,,
2016,first-level local government authorities ,
2016,second-level local government authorities,
2017,,
2017,first-level local government authorities ,
2017,second-level local government authorities,
2018,,
2018,first-level local government authorities ,
2018,second-level local government authorities,
2019,,
2019,first-level local government authorities ,
2019,second-level local government authorities,
2020,,
2020,first-level local government authorities ,
2020,second-level local government authorities,
2021,,
2021,first-level local government authorities ,
2021,second-level local government authorities,
2022,,
2022,first-level local government authorities ,
2022,second-level local government authorities,
