Year,Sex of the petitioner,Criteria of discrimination,Area of discrimination,Form of discrimination,Area of residence,Value
2010,,,,,,
2010,Men,,,,,
2010,Women,,,,,
2010,,Opinion,,,,
2010,,Disability,,,,
2010,,Social origin,,,,
2010,,Language,,,,
2010,,Sex/gender,,,,
2010,,HIV status,,,,
2010,,Sexual orientation,,,,
2010,,Religion/belief,,,,
2010,,Professional status,,,,
2010,,Civil status,,,,
2010,,Political affiliation,,,,
2010,,Place of residence,,,,
2010,,Ethnical affiliation,,,,
2010,,Maternity,,,,
2010,,Nationality,,,,
2010,,Age,,,,
2010,,Race,,,,
2010,,Trade-union activity,,,,
2010,,Pensioner status,,,,
2010,,Other,,,,
2010,,,Discrimination on the labour market,,,
2010,,,Access to education,,,
2010,,,Access to goods and services available to the public,,,
2010,,,Access to justice,,,
2010,,,Hate speech,,,
2010,,,Injured human dignity,,,
2010,,,Exercing parental rights,,,
2010,,,Other,,,
2010,,,,Direct,,
2010,,,,Indirect,,
2010,,,,By association,,
2010,,,,Instigation to discrimination,,
2010,,,,Harassment,,
2010,,,,Victimization,,
2010,,,,Refuse of reasonable accommodation,,
2010,,,,Racial segregation,,
2010,,,,,Urban,
2010,,,,,Rural,
2011,,,,,,
2011,Men,,,,,
2011,Women,,,,,
2011,,Opinion,,,,
2011,,Disability,,,,
2011,,Social origin,,,,
2011,,Language,,,,
2011,,Sex/gender,,,,
2011,,HIV status,,,,
2011,,Sexual orientation,,,,
2011,,Religion/belief,,,,
2011,,Professional status,,,,
2011,,Civil status,,,,
2011,,Political affiliation,,,,
2011,,Place of residence,,,,
2011,,Ethnical affiliation,,,,
2011,,Maternity,,,,
2011,,Nationality,,,,
2011,,Age,,,,
2011,,Race,,,,
2011,,Trade-union activity,,,,
2011,,Pensioner status,,,,
2011,,Other,,,,
2011,,,Discrimination on the labour market,,,
2011,,,Access to education,,,
2011,,,Access to goods and services available to the public,,,
2011,,,Access to justice,,,
2011,,,Hate speech,,,
2011,,,Injured human dignity,,,
2011,,,Exercing parental rights,,,
2011,,,Other,,,
2011,,,,Direct,,
2011,,,,Indirect,,
2011,,,,By association,,
2011,,,,Instigation to discrimination,,
2011,,,,Harassment,,
2011,,,,Victimization,,
2011,,,,Refuse of reasonable accommodation,,
2011,,,,Racial segregation,,
2011,,,,,Urban,
2011,,,,,Rural,
2012,,,,,,
2012,Men,,,,,
2012,Women,,,,,
2012,,Opinion,,,,
2012,,Disability,,,,
2012,,Social origin,,,,
2012,,Language,,,,
2012,,Sex/gender,,,,
