Year, ,Value
2010,,0
2010,,0.1
2010,,0
2011,,
2011,,
2011,,0
2012,,
2012,,
2012,,
2013,,
2013,,
2013,,
2014,,
2014,,
2014,,
2015,,
2015,,
2015,,
2016,,
2016,,
2016,,
2017,,
2017,,
2017,,
2018,,0.1
2018,,0.2
2018,,0
2019,,
2019,,
2019,,
2020,,
2020,,
2020,,
2021,,
2021,,
2021,,
2022,,0
2022,,
2022,,
2010,,
2010,,
2010,,0
2011,,
2011,,
2011,,
2012,,
2012,,
2012,,
2013,,0.5
2013,,0.8
2013,,0.3
2014,,
2014,,0
2014,,0
2015,,0
2015,,
2015,,
2016,,
2016,,
2016,,0
2017,,
2017,,
2017,,0
2018,,
2018,,0
2018,,0.1
2019,,
2019,,
2019,,
2020,,0
2020,,
2020,,
2021,,0.3
2021,,0.6
2021,,0.1
2022,,
2022,,
2022,,
2010,,
2010,,
2010,,
2011,,
2011,,0
2011,,
2012,,
2012,,
2012,,0
2013,,
2013,,
2013,,0
2014,,
2014,,
2014,,
2015,,
2015,,
2015,,
2016,,1.6
2016,,2.2
2016,,1.1
2017,,0
2017,,
2017,,
2018,,
2018,,0
2018,,
2019,,0
2019,,0
2019,,
2020,,
2020,,
2020,,
2021,,
2021,,
2021,,0.1
2022,,0
2022,,
2022,,
2010,,
2010,,
2010,,0
2011,,0.8
2011,,1.2
2011,,0.5
2012,,0
2012,,
2012,,
2013,,
2013,,
2013,,
2014,,
2014,,
2014,,
2015,,0
2015,,
2015,,
2016,,
2016,,
2016,,0.1
2017,,
2017,,
2017,,
2018,,
2018,,
2018,,
2019,,0.4
2019,,0.4
2019,,0.5
2020,,0
2020,,
2020,,
2021,,
2021,,
2021,,
2022,,
2022,,
2022,,
2010,,0
2010,,0.1
2010,,0
2011,,
2011,,
2011,,
2012,,0
2012,,
2012,,
2013,,
2013,,
2013,,
2014,,0.1
2014,,0.1
2014,,0.1
2015,,
2015,,
2015,,
2016,,
2016,,
2016,,
2017,,
2017,,
2017,,
2018,,
2018,,0
2018,,
2019,,
2019,,
2019,,
2020,,
2020,,
2020,,
2021,,
2021,,
2021,,0
2022,,0.4
2022,,0.8
2022,,0.1
2010,,
2010,,
2010,,
2011,,
2011,,
2011,,
2012,,
2012,,
2012,,
2013,,
2013,,
2013,,
2014,,
2014,,
2014,,
2015,,
2015,,
2015,,
2016,,0
2016,,0
2016,,0
2017,,0.6
2017,,0.5
2017,,0.6
2018,,
2018,,
2018,,
2019,,
2019,,
2019,,
2020,,
2020,,
2020,,
2021,,
2021,,
2021,,
2022,,
2022,,
2022,,
2010,,0
2010,,0
2010,,
2011,,0
2011,,
2011,,
2012,,1.5
2012,,2.7
2012,,1.2
2013,,
2013,,
2013,,
2014,,
2014,,
2014,,0
2015,,
2015,,
2015,,
2016,,
2016,,
2016,,
2017,,0
2017,,
2017,,
2018,,
2018,,
2018,,0
2019,,0
2019,,
2019,,0
2020,,0.5
2020,,0.6
2020,,0.4
2021,,
2021,,
2021,,
2022,,
2022,,0
2022,,
2010,,
2010,,
2010,,
2011,,
2011,,
2011,,
2012,,
2012,,
2012,,
2013,,
2013,,
2013,,
2014,,0
2014,,
2014,,0
2015,,
2015,,
2015,,
2016,,
2016,,
2016,,
2017,,
2017,,
2017,,
2018,,
2018,,
2018,,
2019,,
2019,,
2019,,
2020,,
2020,,
2020,,
2021,,
2021,,
2021,,
2022,,
2022,,
2022,,
