Year,Conventions,Value
2010,,
2010,Basel Convention,
2010,Rotterdam Convention,
2010,Stockholm Convention,
2010,Montreal Protocol,
2010,Minamata Convention,
2011,,
2011,Basel Convention,
2011,Rotterdam Convention,
2011,Stockholm Convention,
2011,Montreal Protocol,
2011,Minamata Convention,
2012,,
2012,Basel Convention,
2012,Rotterdam Convention,
2012,Stockholm Convention,
2012,Montreal Protocol,
2012,Minamata Convention,
2013,,
2013,Basel Convention,
2013,Rotterdam Convention,
2013,Stockholm Convention,
2013,Montreal Protocol,
2013,Minamata Convention,
2014,,
2014,Basel Convention,
2014,Rotterdam Convention,
2014,Stockholm Convention,
2014,Montreal Protocol,
2014,Minamata Convention,
2015,,
2015,Basel Convention,33.3
2015,Rotterdam Convention,78.4
2015,Stockholm Convention,50
2015,Montreal Protocol,100
2015,Minamata Convention,
2016,,
2016,Basel Convention,
2016,Rotterdam Convention,
2016,Stockholm Convention,
2016,Montreal Protocol,100
2016,Minamata Convention,
2017,,
2017,Basel Convention,
2017,Rotterdam Convention,
2017,Stockholm Convention,
2017,Montreal Protocol,100
2017,Minamata Convention,
2018,,
2018,Basel Convention,
2018,Rotterdam Convention,
2018,Stockholm Convention,
2018,Montreal Protocol,100
2018,Minamata Convention,
2019,,
2019,Basel Convention,
2019,Rotterdam Convention,
2019,Stockholm Convention,
2019,Montreal Protocol,100
2019,Minamata Convention,
2020,,
2020,Basel Convention,
2020,Rotterdam Convention,
2020,Stockholm Convention,
2020,Montreal Protocol,100
2020,Minamata Convention,
2021,,
2021,Basel Convention,
2021,Rotterdam Convention,
2021,Stockholm Convention,
2021,Montreal Protocol,100
2021,Minamata Convention,
2022,,
2022,Basel Convention,
2022,Rotterdam Convention,
2022,Stockholm Convention,
2022,Montreal Protocol,
2022,Minamata Convention,
