Year,Regions,Value
2010,,23.9
2010,Municipiul Chişinău,37.5
2010,North,14.8
2010,Center,26.4
2010,South,36.9
2010,ATU Găgăuzia,4.2
2011,,22.7
2011,Municipiul Chişinău,32.9
2011,North,12.7
2011,Center,26.1
2011,South,41.7
2011,ATU Găgăuzia,0.3
2012,,19.4
2012,Municipiul Chişinău,21.5
2012,North,18
2012,Center,40.6
2012,South,8.8
2012,ATU Găgăuzia,0.2
2013,,23.3
2013,Municipiul Chişinău,63.4
2013,North,20.1
2013,Center,29.2
2013,South,7.8
2013,ATU Găgăuzia,1
2014,,34
2014,Municipiul Chişinău,87.6
2014,North,15.6
2014,Center,36.3
2014,South,35.4
2014,ATU Găgăuzia,0.6
2015,,15.3
2015,Municipiul Chişinău,51.1
2015,North,6.9
2015,Center,23.3
2015,South,36.8
2015,ATU Găgăuzia,11.9
2016,,29.8
2016,Municipiul Chişinău,10.3
2016,North,20.4
2016,Center,53.6
2016,South,42.9
2016,ATU Găgăuzia,0.3
2017,,34.3
2017,Municipiul Chişinău,14.7
2017,North,28.5
2017,Center,43.4
2017,South,32.2
2017,ATU Găgăuzia,26.2
2018,,44.4
2018,Municipiul Chişinău,11
2018,North,28.7
2018,Center,74.8
2018,South,47.1
2018,ATU Găgăuzia,16.7
2019,,22.9
2019,Municipiul Chişinău,12.3
2019,North,30.4
2019,Center,12.1
2019,South,33.7
2019,ATU Găgăuzia,25
2020,,28.6
2020,Municipiul Chişinău,
2020,North,
2020,Center,
2020,South,
2020,ATU Găgăuzia,
2021,,21.9
2021,Municipiul Chişinău,
2021,North,
2021,Center,
2021,South,
2021,ATU Găgăuzia,
2022,,
2022,Municipiul Chişinău,
2022,North,
2022,Center,
2022,South,
2022,ATU Găgăuzia,
