Year,Classes of disasters,Age group,Sex,Value
2010,,,,
2010,Technogenic,,,
2010,Natural  (by genres),,,
2010,Social and biological,,,
2010,Fires,,,
2010,,0-17 years,,
2010,,18 years and over,,
2010,,,Men,
2010,,,Women,
2011,,,,
2011,Technogenic,,,
2011,Natural  (by genres),,,
2011,Social and biological,,,
2011,Fires,,,
2011,,0-17 years,,
2011,,18 years and over,,
2011,,,Men,
2011,,,Women,
2012,,,,
2012,Technogenic,,,
2012,Natural  (by genres),,,
2012,Social and biological,,,
2012,Fires,,,
2012,,0-17 years,,
2012,,18 years and over,,
2012,,,Men,
2012,,,Women,
2013,,,,4.8
2013,Technogenic,,,0.6
2013,Natural  (by genres),,,0.03
2013,Social and biological,,,0.03
2013,Fires,,,4.2
2013,,0-17 years,,0.4
2013,,18 years and over,,4.4
2013,,,Men,
2013,,,Women,
2014,,,,4.4
2014,Technogenic,,,0.3
2014,Natural  (by genres),,,0
2014,Social and biological,,,0
2014,Fires,,,4.1
2014,,0-17 years,,0.1
2014,,18 years and over,,4.4
2014,,,Men,
2014,,,Women,
2015,,,,4.1
2015,Technogenic,,,0.3
2015,Natural  (by genres),,,0
2015,Social and biological,,,0.1
2015,Fires,,,3.7
2015,,0-17 years,,0.2
2015,,18 years and over,,4
2015,,,Men,
2015,,,Women,
2016,,,,4.4
2016,Technogenic,,,0.3
2016,Natural  (by genres),,,0
2016,Social and biological,,,0.1
2016,Fires,,,4
2016,,0-17 years,,0.4
2016,,18 years and over,,4
2016,,,Men,
2016,,,Women,
2017,,,,3.1
2017,Technogenic,,,0.1
2017,Natural  (by genres),,,0
2017,Social and biological,,,0.1
2017,Fires,,,2.9
2017,,0-17 years,,0.3
2017,,18 years and over,,2.8
2017,,,Men,
2017,,,Women,
2018,,,,5
2018,Technogenic,,,0.5
2018,Natural  (by genres),,,0
2018,Social and biological,,,0.1
2018,Fires,,,4.5
2018,,0-17 years,,0.4
2018,,18 years and over,,4.6
2018,,,Men,
2018,,,Women,
2019,,,,4.9
2019,Technogenic,,,0.2
2019,Natural  (by genres),,,0
2019,Social and biological,,,0.2
2019,Fires,,,4.6
2019,,0-17 years,,0.1
2019,,18 years and over,,4.8
2019,,,Men,
2019,,,Women,
2020,,,,4.3
2020,Technogenic,,,0.04
2020,Natural  (by genres),,,0
2020,Social and biological,,,0
2020,Fires,,,4.2
2020,,0-17 years,,0.7
2020,,18 years and over,,5.2
2020,,,Men,6.1
2020,,,Women,2.5
2021,,,,3.7
2021,Technogenic,,,0.3
2021,Natural  (by genres),,,0
2021,Social and biological,,,0
2021,Fires,,,3.4
2021,,0-17 years,,0.4
2021,,18 years and over,,4.5
2021,,,Men,6.1
2021,,,Women,1.3
2022,,,,4.8
2022,Technogenic,,,0
2022,Natural  (by genres),,,0
2022,Social and biological,,,0
2022,Fires,,,4.6
2022,,0-17 years,,0.4
2022,,18 years and over,,5.9
2022,,,Men,6.8
2022,,,Women,2.7
2023,,,,5.1
2023,Technogenic,,,0.2
2023,Natural  (by genres),,,0.1
2023,Social and biological,,,0
2023,Fires,,,4.7
2023,,0-17 years,,0.4
2023,,18 years and over,,6.3
2023,,,Men,7.8
2023,,,Women,2.6
2024,,,,4.8
2024,Technogenic,,,0.3
2024,Natural  (by genres),,,0
2024,Social and biological,,,0.3
2024,Fires,,,4.3
2024,,0-17 years,,1
2024,,18 years and over,,5.9
2024,,,Men,6.9
2024,,,Women,3
2025,,,,5.04
2025,Technogenic,,,0.04
2025,Natural  (by genres),,,0
2025,Social and biological,,,0.42
2025,Fires,,,4.58
2025,,0-17 years,,0
2025,,18 years and over,,5.04
2025,,,Men,7.33
2025,,,Women,3.06
