Year,Sex,Age group of the victim,Means of committing,Context/reason,Value
2010,,,,,
2010,Men,,,,
2010,Women,,,,
2010,,0-17 years,,,
2010,,18 years and over,,,
2010,,,Firearms and explosive substances,,
2010,,,"White weapons (knife, sharp objects)",,
2010,,,"Tools (row, axe, hammer etc.)",,
2010,,,Other means,,
2010,,,,Revenge,
2010,,,,Jealousy,
2010,,,,Quarrel,
2010,,,,Reason related to family relationships,
2010,,,,Ordered,
2010,,,,Other reasons,
2011,,,,,
2011,Men,,,,
2011,Women,,,,
2011,,0-17 years,,,
2011,,18 years and over,,,
2011,,,Firearms and explosive substances,,
2011,,,"White weapons (knife, sharp objects)",,
2011,,,"Tools (row, axe, hammer etc.)",,
2011,,,Other means,,
2011,,,,Revenge,
2011,,,,Jealousy,
2011,,,,Quarrel,
2011,,,,Reason related to family relationships,
2011,,,,Ordered,
2011,,,,Other reasons,
2012,,,,,
2012,Men,,,,
2012,Women,,,,
2012,,0-17 years,,,
2012,,18 years and over,,,
2012,,,Firearms and explosive substances,,
2012,,,"White weapons (knife, sharp objects)",,
2012,,,"Tools (row, axe, hammer etc.)",,
2012,,,Other means,,
2012,,,,Revenge,
2012,,,,Jealousy,
2012,,,,Quarrel,
2012,,,,Reason related to family relationships,
2012,,,,Ordered,
2012,,,,Other reasons,
2013,,,,,
2013,Men,,,,
2013,Women,,,,
2013,,0-17 years,,,
2013,,18 years and over,,,
2013,,,Firearms and explosive substances,,
2013,,,"White weapons (knife, sharp objects)",,
2013,,,"Tools (row, axe, hammer etc.)",,
2013,,,Other means,,
2013,,,,Revenge,
2013,,,,Jealousy,
2013,,,,Quarrel,
2013,,,,Reason related to family relationships,
2013,,,,Ordered,
2013,,,,Other reasons,
2014,,,,,5.656
2014,Men,,,,10.524
2014,Women,,,,1.15
2014,,0-17 years,,,0
2014,,18 years and over,,,7.206
2014,,,Firearms and explosive substances,,0.246
2014,,,"White weapons (knife, sharp objects)",,1.23
2014,,,"Tools (row, axe, hammer etc.)",,0.281
2014,,,Other means,,4.392
2014,,,,Revenge,0.211
2014,,,,Jealousy,
2014,,,,Quarrel,1.405
2014,,,,Reason related to family relationships,0.386
2014,,,,Ordered,
2014,,,,Other reasons,4.181
2015,,,,,6.689
2015,Men,,,,10.441
2015,Women,,,,3.207
2015,,0-17 years,,,0.495
2015,,18 years and over,,,8.38
2015,,,Firearms and explosive substances,,0.283
2015,,,"White weapons (knife, sharp objects)",,0.991
2015,,,"Tools (row, axe, hammer etc.)",,0.283
2015,,,Other means,,5.132
