Year,Sex,Age group,Value
2010,,,
2010,Men,,
2010,Women,,
2010,,0-14,
2010,,15-24,
2010,,25-34,
2010,,35-44,
2010,,45-54,
2010,,55+,
2011,,,
2011,Men,,
2011,Women,,
2011,,0-14,
2011,,15-24,
2011,,25-34,
2011,,35-44,
2011,,45-54,
2011,,55+,
2012,,,
2012,Men,,
2012,Women,,
2012,,0-14,
2012,,15-24,
2012,,25-34,
2012,,35-44,
2012,,45-54,
2012,,55+,
2013,,,
2013,Men,,
2013,Women,,
2013,,0-14,
2013,,15-24,
2013,,25-34,
2013,,35-44,
2013,,45-54,
2013,,55+,
2014,,,0
2014,Men,,0
2014,Women,,0
2014,,0-14,0
2014,,15-24,0
2014,,25-34,0
2014,,35-44,0
2014,,45-54,0
2014,,55+,0
2015,,,0
2015,Men,,0
2015,Women,,0
2015,,0-14,0
2015,,15-24,0
2015,,25-34,0
2015,,35-44,0
2015,,45-54,0
2015,,55+,0
2016,,,0
2016,Men,,0
2016,Women,,0
2016,,0-14,0
2016,,15-24,0
2016,,25-34,0
2016,,35-44,0
2016,,45-54,0
2016,,55+,0
2017,,,0
2017,Men,,0
2017,Women,,0
2017,,0-14,0
2017,,15-24,0
2017,,25-34,0
2017,,35-44,0
2017,,45-54,0
2017,,55+,0
2018,,,0
2018,Men,,0
2018,Women,,0
2018,,0-14,0
2018,,15-24,0
2018,,25-34,0
2018,,35-44,0
2018,,45-54,0
2018,,55+,0
2019,,,0
2019,Men,,0
2019,Women,,0
2019,,0-14,0
2019,,15-24,0
2019,,25-34,0
2019,,35-44,0
2019,,45-54,0
2019,,55+,0
2020,,,0
2020,Men,,0
2020,Women,,0
2020,,0-14,0
2020,,15-24,0
2020,,25-34,0
2020,,35-44,0
2020,,45-54,0
2020,,55+,0
2021,,,0
2021,Men,,0
2021,Women,,0
2021,,0-14,0
2021,,15-24,0
2021,,25-34,0
2021,,35-44,0
2021,,45-54,0
2021,,55+,0
2022,,,0
2022,Men,,0
2022,Women,,0
2022,,0-14,0
2022,,15-24,0
2022,,25-34,0
2022,,35-44,0
2022,,45-54,0
2022,,55+,0
2023,,,0
2023,Men,,0
2023,Women,,0
2023,,0-14,0
2023,,15-24,0
2023,,25-34,0
2023,,35-44,0
2023,,45-54,0
2023,,55+,0
2024,,,0
2024,Men,,0
2024,Women,,0
2024,,0-14,0
2024,,15-24,0
2024,,25-34,0
2024,,35-44,0
2024,,45-54,0
2024,,55+,0
2025,,,0
2025,Men,,0
2025,Women,,0
2025,,0-14,0
2025,,15-24,0
2025,,25-34,0
2025,,35-44,0
2025,,45-54,0
2025,,55+,0
