Year,Types of crimes,Sex,Age group,Forms of violence ,Value
2010,,,,,
2010,Premeditated severe injuries,,,,
2010,Kidnapping a person,,,,
2010,Sexual assault,,,,
2010,Robbery,,,,
2010,Brigandage,,,,
2010,Blackmail,,,,
2010,Domestic violence,,,,
2010,Hooliganism,,,,
2010,,Men,,,
2010,,Women,,,
2010,,,0-17 years,,
2010,,,18 years and over,,
2010,,,,Psychological violence,
2010,,,,Physical violence,
2010,,,,Sexual violence,
2011,,,,,
2011,Premeditated severe injuries,,,,
2011,Kidnapping a person,,,,
2011,Sexual assault,,,,
2011,Robbery,,,,
2011,Brigandage,,,,
2011,Blackmail,,,,
2011,Domestic violence,,,,
2011,Hooliganism,,,,
2011,,Men,,,
2011,,Women,,,
2011,,,0-17 years,,
2011,,,18 years and over,,
2011,,,,Psychological violence,
2011,,,,Physical violence,
2011,,,,Sexual violence,
2012,,,,,
2012,Premeditated severe injuries,,,,
2012,Kidnapping a person,,,,
2012,Sexual assault,,,,
2012,Robbery,,,,
2012,Brigandage,,,,
2012,Blackmail,,,,
2012,Domestic violence,,,,
2012,Hooliganism,,,,
2012,,Men,,,
2012,,Women,,,
2012,,,0-17 years,,
2012,,,18 years and over,,
2012,,,,Psychological violence,
2012,,,,Physical violence,
2012,,,,Sexual violence,
2013,,,,,
2013,Premeditated severe injuries,,,,
2013,Kidnapping a person,,,,
2013,Sexual assault,,,,
2013,Robbery,,,,
2013,Brigandage,,,,
2013,Blackmail,,,,
2013,Domestic violence,,,,
2013,Hooliganism,,,,
2013,,Men,,,
2013,,Women,,,
2013,,,0-17 years,,
2013,,,18 years and over,,
2013,,,,Psychological violence,
2013,,,,Physical violence,
2013,,,,Sexual violence,
2014,,,,,98.267
2014,Premeditated severe injuries,,,,4.638
2014,Kidnapping a person,,,,1.476
2014,Sexual assault,,,,9.591
2014,Robbery,,,,22.907
2014,Brigandage,,,,2.249
2014,Blackmail,,,,1.23
2014,Domestic violence,,,,30.566
2014,Hooliganism,,,,25.612
2014,,Men,,,96.905
2014,,Women,,,99.528
2014,,,0-17 years,,41.825
2014,,,18 years and over,,113.73
2014,,,,Psychological violence,7.273
2014,,,,Physical violence,32.006
2014,,,,Sexual violence,9.591
2015,,,,,116.08
2015,Premeditated severe injuries,,,,4.778
2015,Kidnapping a person,,,,1.451
2015,Sexual assault,,,,11.113
2015,Robbery,,,,25.163
2015,Brigandage,,,,2.654
2015,Blackmail,,,,0.602
2015,Domestic violence,,,,40.027
2015,Hooliganism,,,,30.294
2015,,Men,,,112.646
2015,,Women,,,119.267
2015,,,0-17 years,,52.971
2015,,,18 years and over,,133.31
2015,,,,Psychological violence,11.537
2015,,,,Physical violence,39.885
2015,,,,Sexual violence,11.113
2016,,,,,133.525
2016,Premeditated severe injuries,,,,5.898
2016,Kidnapping a person,,,,1.403
2016,Sexual assault,,,,13.701
2016,Robbery,,,,27.654
2016,Brigandage,,,,2.913
2016,Blackmail,,,,1.223
2016,Domestic violence,,,,39.881
2016,Hooliganism,,,,40.852
2016,,Men,,,139.526
2016,,Women,,,127.988
2016,,,0-17 years,,51.836
2016,,,18 years and over,,156.091
2016,,,,Psychological violence,20.606
2016,,,,Physical violence,58.689
2016,,,,Sexual violence,13.701
2017,,,,,118.477
2017,Premeditated severe injuries,,,,5.898
2017,Kidnapping a person,,,,1.246
2017,Sexual assault,,,,18.061
2017,Robbery,,,,25.351
2017,Brigandage,,,,2.601
2017,Blackmail,,,,1.282
2017,Domestic violence,,,,21.248
2017,Hooliganism,,,,42.79
2017,,Men,,,137.252
2017,,Women,,,101.282
2017,,,0-17 years,,79.659
2017,,,18 years and over,,129.328
2017,,,,Psychological violence,26.817
2017,,,,Physical violence,68.104
2017,,,,Sexual violence,18.061
2018,,,,,120.569
2018,Premeditated severe injuries,,,,6.779
2018,Kidnapping a person,,,,1.602
2018,Sexual assault,,,,20.635
2018,Robbery,,,,22.013
2018,Brigandage,,,,2.421
2018,Blackmail,,,,2.943
2018,Domestic violence,,,,25.179
2018,Hooliganism,,,,38.998
2018,,Men,,,135.251
2018,,Women,,,107.15
2018,,,0-17 years,,99.619
2018,,,18 years and over,,126.396
2018,,,,Psychological violence,32.033
2018,,,,Physical violence,69.093
2018,,,,Sexual violence,20.635
2019,,,,,114.046
2019,Premeditated severe injuries,,,,6.241
2019,Kidnapping a person,,,,1.021
2019,Sexual assault,,,,21.031
2019,Robbery,,,,19.934
2019,Brigandage,,,,2.913
2019,Blackmail,,,,2.005
2019,Domestic violence,,,,24.209
2019,Hooliganism,,,,36.691
2019,,Men,,,129.694
2019,,Women,,,99.748
2019,,,0-17 years,,91.24
2019,,,18 years and over,,120.344
2019,,,,Psychological violence,28.937
2019,,,,Physical violence,66.082
2019,,,,Sexual violence,21.031
2020,,,,,87.109
2020,Premeditated severe injuries,,,,4.302
2020,Kidnapping a person,,,,0.99
2020,Sexual assault,,,,17.437
2020,Robbery,,,,15.381
2020,Brigandage,,,,1.904
2020,Blackmail,,,,1.409
2020,Domestic violence,,,,19.988
2020,Hooliganism,,,,25.699
2020,,Men,,,96.715
2020,,Women,,,78.344
2020,,,0-17 years,,77.078
2020,,,18 years and over,,89.862
2020,,,,Psychological violence,22.196
2020,,,,Physical violence,48.77
2020,,,,Sexual violence,17.437
2021,,,,,103.975
2021,Premeditated severe injuries,,,,4.366
2021,Kidnapping a person,,,,1.326
2021,Sexual assault,,,,20.039
2021,Robbery,,,,16.257
2021,Brigandage,,,,1.988
2021,Blackmail,,,,3.197
2021,Domestic violence,,,,25.302
2021,Hooliganism,,,,31.501
2021,,Men,,,115.419
2021,,Women,,,93.625
2021,,,0-17 years,,96.841
2021,,,18 years and over,,105.938
2021,,,,Psychological violence,26.51
2021,,,,Physical violence,56.374
2021,,,,Sexual violence,20.039
2022,,,,,115.61
2022,Premeditated severe injuries,,,,4.537
2022,Kidnapping a person,,,,1.234
2022,Sexual assault,,,,21.968
2022,Robbery,,,,16.993
2022,Brigandage,,,,2.587
2022,Blackmail,,,,2.945
2022,Domestic violence,,,,27.699
2022,Hooliganism,,,,37.648
2022,,Men,,,128.495
2022,,Women,,,104.063
2022,,,0-17 years,,110.675
2022,,,18 years and over,,116.956
2022,,,,Psychological violence,32.156
2022,,,,Physical violence,67.456
2022,,,,Sexual violence,21.968
2023,,,,,116.486
2023,Premeditated severe injuries,,,,4.577
2023,Kidnapping a person,,,,1.114
2023,Sexual assault,,,,20.058
2023,Robbery,,,,12.456
2023,Brigandage,,,,2.229
2023,Blackmail,,,,3.98
2023,Domestic violence,,,,32.156
2023,Hooliganism,,,,39.916
2023,,Men,,,125.8
2023,,Women,,,108.138
2023,,,0-17 years,,106.59
2023,,,18 years and over,,119.185
2023,,,,Psychological violence,21.53
2023,,,,Physical violence,74.898
2023,,,,Sexual violence,20.058
