Year,Duration of arrest,Sex,Age group,Value
2010,,,,9.7
2010,Up to 3 months,,,6.7
2010,From 3 to 6 months,,,2.2
2010,From 6 to 12 months,,,0.6
2010,More than 12 months,,,0.2
2010,,Men,,
2010,,Women,,
2010,,,15-24,
2010,,,25-34,
2010,,,35-44,
2010,,,45-54,
2010,,,55+,
2010,,,60+,
2011,,,,10.9
2011,Up to 3 months,,,6.7
2011,From 3 to 6 months,,,2.8
2011,From 6 to 12 months,,,1.3
2011,More than 12 months,,,0.1
2011,,Men,,
2011,,Women,,
2011,,,15-24,
2011,,,25-34,
2011,,,35-44,
2011,,,45-54,
2011,,,55+,
2011,,,60+,
2012,,,,11.2
2012,Up to 3 months,,,6.1
2012,From 3 to 6 months,,,3.4
2012,From 6 to 12 months,,,1.4
2012,More than 12 months,,,0.3
2012,,Men,,
2012,,Women,,
2012,,,15-24,
2012,,,25-34,
2012,,,35-44,
2012,,,45-54,
2012,,,55+,
2012,,,60+,
2013,,,,11.8
2013,Up to 3 months,,,6
2013,From 3 to 6 months,,,4.2
2013,From 6 to 12 months,,,1.2
2013,More than 12 months,,,0.4
2013,,Men,,
2013,,Women,,
2013,,,15-24,
2013,,,25-34,
2013,,,35-44,
2013,,,45-54,
2013,,,55+,
2013,,,60+,
2014,,,,10.4
2014,Up to 3 months,,,4.3
2014,From 3 to 6 months,,,3.6
2014,From 6 to 12 months,,,1.4
2014,More than 12 months,,,1.1
2014,,Men,,
2014,,Women,,
2014,,,15-24,
2014,,,25-34,
2014,,,35-44,
2014,,,45-54,
2014,,,55+,
2014,,,60+,
2015,,,,11.7
2015,Up to 3 months,,,5.3
2015,From 3 to 6 months,,,4.4
2015,From 6 to 12 months,,,1.4
2015,More than 12 months,,,0.6
2015,,Men,,
2015,,Women,,
2015,,,15-24,
2015,,,25-34,
2015,,,35-44,
2015,,,45-54,
2015,,,55+,
2015,,,60+,
2016,,,,8.8
2016,Up to 3 months,,,4.5
2016,From 3 to 6 months,,,2.3
2016,From 6 to 12 months,,,2
2016,More than 12 months,,,0
2016,,Men,,
2016,,Women,,
2016,,,15-24,
2016,,,25-34,
2016,,,35-44,
2016,,,45-54,
2016,,,55+,
2016,,,60+,
2017,,,,9.3
2017,Up to 3 months,,,6
2017,From 3 to 6 months,,,2.4
2017,From 6 to 12 months,,,0.9
2017,More than 12 months,,,0
2017,,Men,,
2017,,Women,,
2017,,,15-24,
2017,,,25-34,
2017,,,35-44,
2017,,,45-54,
2017,,,55+,
2017,,,60+,
2018,,,,6.8
2018,Up to 3 months,,,4.4
2018,From 3 to 6 months,,,1.5
2018,From 6 to 12 months,,,0.9
2018,More than 12 months,,,0
2018,,Men,,
2018,,Women,,
2018,,,15-24,
2018,,,25-34,
2018,,,35-44,
2018,,,45-54,
2018,,,55+,
2018,,,60+,
2019,,,,5.8
2019,Up to 3 months,,,3.7
2019,From 3 to 6 months,,,1.3
2019,From 6 to 12 months,,,0.8
2019,More than 12 months,,,0
2019,,Men,,
2019,,Women,,
2019,,,15-24,
2019,,,25-34,
2019,,,35-44,
2019,,,45-54,
2019,,,55+,
2019,,,60+,
2020,,,,5.3
2020,Up to 3 months,,,3
2020,From 3 to 6 months,,,1.7
2020,From 6 to 12 months,,,0.6
2020,More than 12 months,,,0
2020,,Men,,5.2
2020,,Women,,0.1
2020,,,15-24,
2020,,,25-34,
2020,,,35-44,
2020,,,45-54,
2020,,,55+,
2020,,,60+,
2021,,,,5.5
2021,Up to 3 months,,,3.7
2021,From 3 to 6 months,,,1.3
2021,From 6 to 12 months,,,0.5
2021,More than 12 months,,,0
2021,,Men,,5.3
2021,,Women,,0.2
2021,,,15-24,
2021,,,25-34,
2021,,,35-44,
2021,,,45-54,
2021,,,55+,
2021,,,60+,
2022,,,,5.4
2022,Up to 3 months,,,3.9
2022,From 3 to 6 months,,,1
2022,From 6 to 12 months,,,0.5
2022,More than 12 months,,,0
2022,,Men,,5.1
2022,,Women,,0.3
2022,,,15-24,
2022,,,25-34,
2022,,,35-44,
2022,,,45-54,
2022,,,55+,
2022,,,60+,
2023,,,,5.71
2023,Up to 3 months,,,2.81
2023,From 3 to 6 months,,,1.81
2023,From 6 to 12 months,,,1.09
2023,More than 12 months,,,
2023,,Men,,5.39
2023,,Women,,0.32
2023,,,15-24,0.95
2023,,,25-34,1.63
2023,,,35-44,1.9
2023,,,45-54,0.77
2023,,,55+,0.28
2023,,,60+,0.18
