Year,Availability,Value
2010,Fully available,
2010,Partly available,
2010,Not available,
2011,Fully available,
2011,Partly available,
2011,Not available,
2012,Fully available,
2012,Partly available,
2012,Not available,
2013,Fully available,
2013,Partly available,
2013,Not available,
2014,Fully available,
2014,Partly available,
2014,Not available,
2015,Fully available,
2015,Partly available,
2015,Not available,
2016,Fully available,
2016,Partly available,
2016,Not available,
2017,Fully available,50
2017,Partly available,5
2017,Not available,45
2018,Fully available,
2018,Partly available,
2018,Not available,
2019,Fully available,
2019,Partly available,
2019,Not available,
2020,Fully available,
2020,Partly available,
2020,Not available,
2021,Fully available,
2021,Partly available,
2021,Not available,
2022,Fully available,
2022,Partly available,
2022,Not available,
2023,Fully available,67
2023,Partly available,7
2023,Not available,26
