Year,Area of residence,Regions,Speeds,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Mun. Chișinău,,
2010,,North,,
2010,,Center,,
2010,,South,,
2010,,ATU Gagauzia,,
2010,,,Under 2 Mbps,
2010,,,2-10 mbps,
2010,,,10-30 mbps,
2010,,,30-100 mbps,
2010,,,Over 100 Mbps,
2011,,,,
2011,Urban,,,
2011,Rural,,,
2011,,Mun. Chișinău,,
2011,,North,,
2011,,Center,,
2011,,South,,
2011,,ATU Gagauzia,,
2011,,,Under 2 Mbps,
2011,,,2-10 mbps,
2011,,,10-30 mbps,
2011,,,30-100 mbps,
2011,,,Over 100 Mbps,
2012,,,,
2012,Urban,,,
2012,Rural,,,
2012,,Mun. Chișinău,,
2012,,North,,
2012,,Center,,
2012,,South,,
2012,,ATU Gagauzia,,
2012,,,Under 2 Mbps,
2012,,,2-10 mbps,
2012,,,10-30 mbps,
2012,,,30-100 mbps,
2012,,,Over 100 Mbps,
2013,,,,
2013,Urban,,,
2013,Rural,,,
2013,,Mun. Chișinău,,
2013,,North,,
2013,,Center,,
2013,,South,,
2013,,ATU Gagauzia,,
2013,,,Under 2 Mbps,
2013,,,2-10 mbps,
2013,,,10-30 mbps,
2013,,,30-100 mbps,
2013,,,Over 100 Mbps,
2014,,,,17.7
2014,Urban,,,27.9
2014,Rural,,,11.1
2014,,Mun. Chișinău,,31.2
2014,,North,,14.3
2014,,Center,,12.5
2014,,South,,13.5
2014,,ATU Gagauzia,,17.1
2014,,,Under 2 Mbps,1.4
2014,,,2-10 mbps,5.7
2014,,,10-30 mbps,3.3
2014,,,30-100 mbps,6.4
2014,,,Over 100 Mbps,0.7
2015,,,,18.8
2015,Urban,,,28.6
2015,Rural,,,12.3
2015,,Mun. Chișinău,,32.9
2015,,North,,15.2
2015,,Center,,13.1
2015,,South,,14.2
2015,,ATU Gagauzia,,18.3
2015,,,Under 2 Mbps,0.8
2015,,,2-10 mbps,1.8
2015,,,10-30 mbps,6.2
2015,,,30-100 mbps,8.4
2015,,,Over 100 Mbps,1.1
2016,,,,19.7
2016,Urban,,,30.5
2016,Rural,,,12.6
2016,,Mun. Chișinău,,33.7
2016,,North,,16
2016,,Center,,13.6
2016,,South,,17
2016,,ATU Gagauzia,,18.4
2016,,,Under 2 Mbps,0.8
2016,,,2-10 mbps,1.1
2016,,,10-30 mbps,6.8
2016,,,30-100 mbps,9.4
2016,,,Over 100 Mbps,1.1
2017,,,,21
2017,Urban,,,32
2017,Rural,,,13.7
2017,,Mun. Chișinău,,35
2017,,North,,17.1
2017,,Center,,15
2017,,South,,18.3
2017,,ATU Gagauzia,,18.9
2017,,,Under 2 Mbps,0.8
2017,,,2-10 mbps,0.9
2017,,,10-30 mbps,6.8
2017,,,30-100 mbps,10.6
2017,,,Over 100 Mbps,1.4
2018,,,,22.8
2018,Urban,,,34.3
2018,Rural,,,15.1
2018,,Mun. Chișinău,,37.3
2018,,North,,18.5
2018,,Center,,17.9
2018,,South,,18.1
2018,,ATU Gagauzia,,19.6
2018,,,Under 2 Mbps,0.7
2018,,,2-10 mbps,0.3
2018,,,10-30 mbps,7.1
2018,,,30-100 mbps,12.4
2018,,,Over 100 Mbps,2.3
2019,,,,25
2019,Urban,,,36.9
2019,Rural,,,16.8
2019,,Mun. Chișinău,,40
2019,,North,,20.3
2019,,Center,,19.8
2019,,South,,20.2
2019,,ATU Gagauzia,,20.7
2019,,,Under 2 Mbps,0.6
2019,,,2-10 mbps,0.3
2019,,,10-30 mbps,6.5
2019,,,30-100 mbps,13.8
2019,,,Over 100 Mbps,3.8
2020,,,,27.2
2020,Urban,,,38.5
2020,Rural,,,19.2
2020,,Mun. Chișinău,,41.9
2020,,North,,22.4
2020,,Center,,22.3
2020,,South,,22.4
2020,,ATU Gagauzia,,21.4
2020,,,Under 2 Mbps,0.4
2020,,,2-10 mbps,0.3
2020,,,10-30 mbps,5.7
2020,,,30-100 mbps,14.5
2020,,,Over 100 Mbps,6.3
2021,,,,29
2021,Urban,,,40.1
2021,Rural,,,21.1
2021,,Mun. Chișinău,,42.9
2021,,North,,24.3
2021,,Center,,24.5
2021,,South,,24.4
2021,,ATU Gagauzia,,22.6
2021,,,Under 2 Mbps,0.3
2021,,,2-10 mbps,0.2
2021,,,10-30 mbps,4.5
2021,,,30-100 mbps,14.3
2021,,,Over 100 Mbps,9.6
2022,,,,30.7
2022,Urban,,,41.5
2022,Rural,,,22.8
2022,,Mun. Chișinău,,44.2
2022,,North,,26.5
2022,,Center,,26.1
2022,,South,,25.4
2022,,ATU Gagauzia,,23.6
2022,,,Under 2 Mbps,0.2
2022,,,2-10 mbps,0.2
2022,,,10-30 mbps,3.9
2022,,,30-100 mbps,13.5
2022,,,Over 100 Mbps,12.9
