Year,Area of residence,Sex,Value
2010,,,7.4
2010,Urban,,7.2
2010,Rural,,7.5
2010,,Men,9.1
2010,,Women,5.7
2011,,,6.9
2011,Urban,,6.3
2011,Rural,,7.2
2011,,Men,8.6
2011,,Women,5.1
2012,,,6.4
2012,Urban,,6
2012,Rural,,6.6
2012,,Men,6.4
2012,,Women,6.4
2013,,,6.2
2013,Urban,,7.1
2013,Rural,,5.6
2013,,Men,6.3
2013,,Women,6
2014,,,5.9
2014,Urban,,4.5
2014,Rural,,6.7
2014,,Men,7.2
2014,,Women,4.6
2015,,,6
2015,Urban,,5.5
2015,Rural,,6.4
2015,,Men,7.3
2015,,Women,4.7
2016,,,6.1
2016,Urban,,5.8
2016,Rural,,6.2
2016,,Men,7
2016,,Women,5.1
2017,,,5.6
2017,Urban,,5.5
2017,Rural,,5.7
2017,,Men,6.2
2017,,Women,5
2018,,,6.3
2018,Urban,,7.1
2018,Rural,,5.7
2018,,Men,7.1
2018,,Women,5.4
2019,,,5.8
2019,Urban,,6.1
2019,Rural,,5.5
2019,,Men,5.7
2019,,Women,5.8
2020,,,6.4
2020,Urban,,5.4
2020,Rural,,7
2020,,Men,6.4
2020,,Women,6.3
2021,,,6.3
2021,Urban,,5.4
2021,Rural,,6.8
2021,,Men,7
2021,,Women,5.5
2022,,,
2022,Urban,,
2022,Rural,,
2022,,Men,
2022,,Women,
