Year,Sex,Age group,Value
2010,,,
2010,Men,,
2010,Women,,
2010,,0-14,
2010,,15-24,
2010,,25-34,
2010,,35-44,
2010,,45-54,
2010,,55-64,
2010,,65+,
2011,,,
2011,Men,,
2011,Women,,
2011,,0-14,
2011,,15-24,
2011,,25-34,
2011,,35-44,
2011,,45-54,
2011,,55-64,
2011,,65+,
2012,,,
2012,Men,,
2012,Women,,
2012,,0-14,
2012,,15-24,
2012,,25-34,
2012,,35-44,
2012,,45-54,
2012,,55-64,
2012,,65+,
2013,,,
2013,Men,,
2013,Women,,
2013,,0-14,
2013,,15-24,
2013,,25-34,
2013,,35-44,
2013,,45-54,
2013,,55-64,
2013,,65+,
2014,,,96.1
2014,Men,,139.4
2014,Women,,56.2
2014,,0-14,20.3
2014,,15-24,67.3
2014,,25-34,132.2
2014,,35-44,164.5
2014,,45-54,155.8
2014,,55-64,98.2
2014,,65+,50.6
2015,,,83.7
2015,Men,,125.4
2015,Women,,45
2015,,0-14,20.5
2015,,15-24,56
2015,,25-34,108.2
2015,,35-44,145.6
2015,,45-54,137.8
2015,,55-64,88
2015,,65+,44.7
2016,,,82.3
2016,Men,,120
2016,Women,,47.5
2016,,0-14,18.2
2016,,15-24,62.9
2016,,25-34,115.1
2016,,35-44,135.5
2016,,45-54,123.1
2016,,55-64,88.2
2016,,65+,48.4
2017,,,78.9
2017,Men,,117.7
2017,Women,,43.2
2017,,0-14,21.5
2017,,15-24,54.8
2017,,25-34,105.1
2017,,35-44,133.2
2017,,45-54,130.9
2017,,55-64,79.8
2017,,65+,43
2018,,,75.7
2018,Men,,115.7
2018,Women,,39
2018,,0-14,17.2
2018,,15-24,52.2
2018,,25-34,98.3
2018,,35-44,127.8
2018,,45-54,120.9
2018,,55-64,89
2018,,65+,40.8
2019,,,71.4
2019,Men,,109.5
2019,Women,,36.6
2019,,0-14,18.2
2019,,15-24,39.8
2019,,25-34,98.3
2019,,35-44,118.1
2019,,45-54,117.4
2019,,55-64,76
2019,,65+,44.5
2020,,,42.6
2020,Men,,67.2
2020,Women,,20.2
2020,,0-14,8.5
2020,,15-24,29.6
2020,,25-34,54.1
2020,,35-44,74.1
2020,,45-54,63.5
2020,,55-64,56.3
2020,,65+,20.8
2021,,,52.2
2021,Men,,82.2
2021,Women,,24.9
2021,,0-14,16.3
2021,,15-24,25.9
2021,,25-34,68.3
2021,,35-44,86.3
2021,,45-54,88.5
2021,,55-64,56.8
2021,,65+,29.6
2022,,,
2022,Men,,
2022,Women,,
2022,,0-14,
2022,,15-24,
2022,,25-34,
2022,,35-44,
2022,,45-54,
2022,,55-64,
2022,,65+,
