Year,Age group,Value
2010,,
2010,"18 years and over, adults",
2010,"0-17 years, children",
2011,,
2011,"18 years and over, adults",
2011,"0-17 years, children",
2012,,
2012,"18 years and over, adults",
2012,"0-17 years, children",
2013,,
2013,"18 years and over, adults",
2013,"0-17 years, children",
2014,,64.6
2014,"18 years and over, adults",83.2
2014,"0-17 years, children",2.1
2015,,56
2015,"18 years and over, adults",72.1
2015,"0-17 years, children",1.2
2016,,43.9
2016,"18 years and over, adults",56.6
2016,"0-17 years, children",0.8
2017,,44.9
2017,"18 years and over, adults",57.8
2017,"0-17 years, children",1.3
2018,,33.1
2018,"18 years and over, adults",42.7
2018,"0-17 years, children",1
2019,,37.1
2019,"18 years and over, adults",47.5
2019,"0-17 years, children",1.6
2020,,18.1
2020,"18 years and over, adults",23.1
2020,"0-17 years, children",0.8
2021,,23.2
2021,"18 years and over, adults",28.9
2021,"0-17 years, children",3.7
2022,,
2022,"18 years and over, adults",
2022,"0-17 years, children",
