Year,Sex,Value
2010,,
2010,Men,
2010,Women,
2011,,
2011,Men,
2011,Women,
2012,,
2012,Men,
2012,Women,
2013,,
2013,Men,
2013,Women,
2014,,
2014,Men,
2014,Women,
2015,,
2015,Men,
2015,Women,
2016,,
2016,Men,
2016,Women,
2017,,
2017,Men,
2017,Women,
2018,,
2018,Men,
2018,Women,
2019,,
2019,Men,
2019,Women,
2020,,4.78
2020,Men,7.08
2020,Women,2.69
2021,,4.62
2021,Men,7.45
2021,Women,2.06
2022,,4.51
2022,Men,6.19
2022,Women,3
2023,,4.65
2023,Men,6.86
2023,Women,2.66
2024,,2.12
2024,Men,3.09
2024,Women,1.26
