Year,Type of vaccine,Value
2010,,
2010,Tuberculosis vaccine (BCG),98.1
2010,Diphtheria-tetanus-pertussis (DTP) vaccine,94.1
2010,Combination measles-mumps-rubella vaccine (MMR),93.2
2010,Oral polio vaccine (OPV),95.7
2010,Hepatitis B vaccine (HEPB),96.7
2010,Type B haemophilus influenzae (HIB) vaccine,77.3
2010,Rotavirus (RV) vaccine,0
2010,Pneumococcal vaccine (PC),0
2010,Diphtheria and tetanus toxin (DT) vaccine at 7 years,98.2
2010,Diphtheria and tetanus toxin (Td) vaccine at 15 years,98.6
2011,,
2011,Tuberculosis vaccine (BCG),98.5
2011,Diphtheria-tetanus-pertussis (DTP) vaccine,94.1
2011,Combination measles-mumps-rubella vaccine (MMR),92.8
2011,Oral polio vaccine (OPV),95.7
2011,Hepatitis B vaccine (HEPB),96.3
2011,Type B haemophilus influenzae (HIB) vaccine,80.1
2011,Rotavirus (RV) vaccine,0
2011,Pneumococcal vaccine (PC),0
2011,Diphtheria and tetanus toxin (DT) vaccine at 7 years,98
2011,Diphtheria and tetanus toxin (Td) vaccine at 15 years,97.8
2012,,
2012,Tuberculosis vaccine (BCG),98.2
2012,Diphtheria-tetanus-pertussis (DTP) vaccine,94.1
2012,Combination measles-mumps-rubella vaccine (MMR),92.2
2012,Oral polio vaccine (OPV),94.8
2012,Hepatitis B vaccine (HEPB),95.1
2012,Type B haemophilus influenzae (HIB) vaccine,92.5
2012,Rotavirus (RV) vaccine,24.9
2012,Pneumococcal vaccine (PC),0
2012,Diphtheria and tetanus toxin (DT) vaccine at 7 years,97.1
2012,Diphtheria and tetanus toxin (Td) vaccine at 15 years,97.1
2013,,
2013,Tuberculosis vaccine (BCG),98
2013,Diphtheria-tetanus-pertussis (DTP) vaccine,93.1
2013,Combination measles-mumps-rubella vaccine (MMR),91.5
2013,Oral polio vaccine (OPV),93.7
2013,Hepatitis B vaccine (HEPB),93.7
2013,Type B haemophilus influenzae (HIB) vaccine,92.5
2013,Rotavirus (RV) vaccine,48.2
2013,Pneumococcal vaccine (PC),0
2013,Diphtheria and tetanus toxin (DT) vaccine at 7 years,96.8
2013,Diphtheria and tetanus toxin (Td) vaccine at 15 years,97.1
2014,,
2014,Tuberculosis vaccine (BCG),97.9
2014,Diphtheria-tetanus-pertussis (DTP) vaccine,91.7
2014,Combination measles-mumps-rubella vaccine (MMR),90.3
2014,Oral polio vaccine (OPV),92.5
2014,Hepatitis B vaccine (HEPB),92.5
2014,Type B haemophilus influenzae (HIB) vaccine,91.3
2014,Rotavirus (RV) vaccine,75.6
2014,Pneumococcal vaccine (PC),32.8
2014,Diphtheria and tetanus toxin (DT) vaccine at 7 years,96.6
2014,Diphtheria and tetanus toxin (Td) vaccine at 15 years,96.5
2015,,
2015,Tuberculosis vaccine (BCG),97.7
2015,Diphtheria-tetanus-pertussis (DTP) vaccine,91.1
2015,Combination measles-mumps-rubella vaccine (MMR),89.7
2015,Oral polio vaccine (OPV),91.7
2015,Hepatitis B vaccine (HEPB),91.9
2015,Type B haemophilus influenzae (HIB) vaccine,90.9
2015,Rotavirus (RV) vaccine,77.7
2015,Pneumococcal vaccine (PC),83.1
2015,Diphtheria and tetanus toxin (DT) vaccine at 7 years,96.5
2015,Diphtheria and tetanus toxin (Td) vaccine at 15 years,97
2016,,
2016,Tuberculosis vaccine (BCG),97.2
2016,Diphtheria-tetanus-pertussis (DTP) vaccine,90.3
2016,Combination measles-mumps-rubella vaccine (MMR),88.8
2016,Oral polio vaccine (OPV),91.5
2016,Hepatitis B vaccine (HEPB),90.5
2016,Type B haemophilus influenzae (HIB) vaccine,90.2
2016,Rotavirus (RV) vaccine,79.3
2016,Pneumococcal vaccine (PC),86.2
2016,Diphtheria and tetanus toxin (DT) vaccine at 7 years,96.7
2016,Diphtheria and tetanus toxin (Td) vaccine at 15 years,97.2
2017,,
2017,Tuberculosis vaccine (BCG),97.2
2017,Diphtheria-tetanus-pertussis (DTP) vaccine,90.1
2017,Combination measles-mumps-rubella vaccine (MMR),88.1
2017,Oral polio vaccine (OPV),91.1
2017,Hepatitis B vaccine (HEPB),90.3
2017,Type B haemophilus influenzae (HIB) vaccine,89.9
2017,Rotavirus (RV) vaccine,79.7
2017,Pneumococcal vaccine (PC),85.7
2017,Diphtheria and tetanus toxin (DT) vaccine at 7 years,95
2017,Diphtheria and tetanus toxin (Td) vaccine at 15 years,95.6
2018,,
2018,Tuberculosis vaccine (BCG),96.9
2018,Diphtheria-tetanus-pertussis (DTP) vaccine,91.6
2018,Combination measles-mumps-rubella vaccine (MMR),90.6
2018,Oral polio vaccine (OPV),92.1
2018,Hepatitis B vaccine (HEPB),92.2
2018,Type B haemophilus influenzae (HIB) vaccine,91.2
2018,Rotavirus (RV) vaccine,80.6
2018,Pneumococcal vaccine (PC),89
2018,Diphtheria and tetanus toxin (DT) vaccine at 7 years,95.9
2018,Diphtheria and tetanus toxin (Td) vaccine at 15 years,97.1
2019,,
2019,Tuberculosis vaccine (BCG),96.8
2019,Diphtheria-tetanus-pertussis (DTP) vaccine,91.4
2019,Combination measles-mumps-rubella vaccine (MMR),88.7
2019,Oral polio vaccine (OPV),92.5
2019,Hepatitis B vaccine (HEPB),92.5
2019,Type B haemophilus influenzae (HIB) vaccine,91.1
2019,Rotavirus (RV) vaccine,81.9
2019,Pneumococcal vaccine (PC),87.8
2019,Diphtheria and tetanus toxin (DT) vaccine at 7 years,95.7
2019,Diphtheria and tetanus toxin (Td) vaccine at 15 years,96.6
2020,,
2020,Tuberculosis vaccine (BCG),96.5
2020,Diphtheria-tetanus-pertussis (DTP) vaccine,88
2020,Combination measles-mumps-rubella vaccine (MMR),84.3
2020,Oral polio vaccine (OPV),88.6
2020,Hepatitis B vaccine (HEPB),89.3
2020,Type B haemophilus influenzae (HIB) vaccine,88.3
2020,Rotavirus (RV) vaccine,78.9
2020,Pneumococcal vaccine (PC),84.5
2020,Diphtheria and tetanus toxin (DT) vaccine at 7 years,94.2
2020,Diphtheria and tetanus toxin (Td) vaccine at 15 years,93.1
2021,,
2021,Tuberculosis vaccine (BCG),96.7
2021,Diphtheria-tetanus-pertussis (DTP) vaccine,88.5
2021,Combination measles-mumps-rubella vaccine (MMR),84.3
2021,Oral polio vaccine (OPV),89.1
2021,Hepatitis B vaccine (HEPB),89.1
2021,Type B haemophilus influenzae (HIB) vaccine,88.5
2021,Rotavirus (RV) vaccine,76.9
2021,Pneumococcal vaccine (PC),83.7
2021,Diphtheria and tetanus toxin (DT) vaccine at 7 years,94.2
2021,Diphtheria and tetanus toxin (Td) vaccine at 15 years,93.6
2022,,
2022,Tuberculosis vaccine (BCG),
2022,Diphtheria-tetanus-pertussis (DTP) vaccine,
2022,Combination measles-mumps-rubella vaccine (MMR),
2022,Oral polio vaccine (OPV),
2022,Hepatitis B vaccine (HEPB),
2022,Type B haemophilus influenzae (HIB) vaccine,
2022,Rotavirus (RV) vaccine,
2022,Pneumococcal vaccine (PC),
2022,Diphtheria and tetanus toxin (DT) vaccine at 7 years,
2022,Diphtheria and tetanus toxin (Td) vaccine at 15 years,
