Year,Disbursement,Value
2010,Net disbursement,19.344
2010,Gross disbursement,19.362
2011,Net disbursement,28.024
2011,Gross disbursement,28.071
2012,Net disbursement,28.612
2012,Gross disbursement,28.968
2013,Net disbursement,26.636
2013,Gross disbursement,27.037
2014,Net disbursement,13.586
2014,Gross disbursement,14.275
2015,Net disbursement,12.454
2015,Gross disbursement,13.111
2016,Net disbursement,15.81
2016,Gross disbursement,16.519
2017,Net disbursement,13.471
2017,Gross disbursement,14.682
2018,Net disbursement,9.212
2018,Gross disbursement,11.178
2019,Net disbursement,9.835
2019,Gross disbursement,13.523
2020,Net disbursement,9.843
2020,Gross disbursement,13.991
2021,Net disbursement,19.702
2021,Gross disbursement,23.773
2022,Net disbursement,13.632
2022,Gross disbursement,17.204
2023,Net disbursement,4.088
2023,Gross disbursement,7.454
