Year,Proportion of persons aged of 13-15 years who have completed primary education,Proportion of persons aged of 18-20 years who have completed lower secondary education (gimnasium),Proportion of persons aged of 21-23 years who have completed upper secondary education,Value
2010,,,,
2010,13-15 years / Total,,,
2010,13-15 years / Urban,,,
2010,13-15 years / Rural,,,
2010,13-15 years / Men,,,
2010,13-15 years / Women,,,
2010,,18-20 years / Total,,
2010,,18-20 years / Urban,,
2010,,18-20 years / Rural,,
2010,,18-20 years / Men,,
2010,,18-20 years / Women,,
2010,,,18-20 years / Total,
2010,,,21-23 years / Urban,
2010,,,21-23 years / Rural,
2010,,,21-23 years / Men,
2010,,,21-23 years / Women,
2011,,,,
2011,13-15 years / Total,,,
2011,13-15 years / Urban,,,
2011,13-15 years / Rural,,,
2011,13-15 years / Men,,,
2011,13-15 years / Women,,,
2011,,18-20 years / Total,,
2011,,18-20 years / Urban,,
2011,,18-20 years / Rural,,
2011,,18-20 years / Men,,
2011,,18-20 years / Women,,
2011,,,18-20 years / Total,
2011,,,21-23 years / Urban,
2011,,,21-23 years / Rural,
2011,,,21-23 years / Men,
2011,,,21-23 years / Women,
2012,,,,
2012,13-15 years / Total,,,
2012,13-15 years / Urban,,,
2012,13-15 years / Rural,,,
2012,13-15 years / Men,,,
2012,13-15 years / Women,,,
2012,,18-20 years / Total,,
2012,,18-20 years / Urban,,
2012,,18-20 years / Rural,,
2012,,18-20 years / Men,,
2012,,18-20 years / Women,,
2012,,,18-20 years / Total,
2012,,,21-23 years / Urban,
2012,,,21-23 years / Rural,
2012,,,21-23 years / Men,
2012,,,21-23 years / Women,
2013,,,,
2013,13-15 years / Total,,,
2013,13-15 years / Urban,,,
2013,13-15 years / Rural,,,
2013,13-15 years / Men,,,
2013,13-15 years / Women,,,
2013,,18-20 years / Total,,
2013,,18-20 years / Urban,,
2013,,18-20 years / Rural,,
2013,,18-20 years / Men,,
2013,,18-20 years / Women,,
2013,,,18-20 years / Total,
2013,,,21-23 years / Urban,
2013,,,21-23 years / Rural,
2013,,,21-23 years / Men,
2013,,,21-23 years / Women,
2014,,,,
2014,13-15 years / Total,,,99.724
2014,13-15 years / Urban,,,99.602
2014,13-15 years / Rural,,,99.779
2014,13-15 years / Men,,,99.684
2014,13-15 years / Women,,,99.768
2014,,18-20 years / Total,,98.78
2014,,18-20 years / Urban,,99.289
2014,,18-20 years / Rural,,98.554
2014,,18-20 years / Men,,98.295
2014,,18-20 years / Women,,99.337
2014,,,18-20 years / Total,78.268
2014,,,21-23 years / Urban,92.011
2014,,,21-23 years / Rural,69.108
2014,,,21-23 years / Men,74.722
2014,,,21-23 years / Women,82.295
2015,,,,
2015,13-15 years / Total,,,99.682
2015,13-15 years / Urban,,,99.638
2015,13-15 years / Rural,,,99.701
2015,13-15 years / Men,,,99.576
2015,13-15 years / Women,,,99.817
2015,,18-20 years / Total,,98.972
2015,,18-20 years / Urban,,99.56
2015,,18-20 years / Rural,,98.706
2015,,18-20 years / Men,,98.846
2015,,18-20 years / Women,,99.107
2015,,,18-20 years / Total,77.196
2015,,,21-23 years / Urban,90.23
2015,,,21-23 years / Rural,69.755
2015,,,21-23 years / Men,73.038
2015,,,21-23 years / Women,81.541
2016,,,,
2016,13-15 years / Total,,,99.827
2016,13-15 years / Urban,,,100
2016,13-15 years / Rural,,,99.756
2016,13-15 years / Men,,,99.754
2016,13-15 years / Women,,,99.914
2016,,18-20 years / Total,,99.332
2016,,18-20 years / Urban,,100
2016,,18-20 years / Rural,,99.021
2016,,18-20 years / Men,,99.59
2016,,18-20 years / Women,,99.048
2016,,,18-20 years / Total,79.348
2016,,,21-23 years / Urban,91.132
2016,,,21-23 years / Rural,71.644
2016,,,21-23 years / Men,76.038
2016,,,21-23 years / Women,82.714
2017,,,,
2017,13-15 years / Total,,,99.866
2017,13-15 years / Urban,,,99.576
2017,13-15 years / Rural,,,100
2017,13-15 years / Men,,,99.739
2017,13-15 years / Women,,,100
2017,,18-20 years / Total,,99.418
2017,,18-20 years / Urban,,99.602
2017,,18-20 years / Rural,,99.324
2017,,18-20 years / Men,,99.533
2017,,18-20 years / Women,,99.282
2017,,,18-20 years / Total,79.914
2017,,,21-23 years / Urban,91.633
2017,,,21-23 years / Rural,73.887
2017,,,21-23 years / Men,78.424
2017,,,21-23 years / Women,81.536
2018,,,,
2018,13-15 years / Total,,,99.67
2018,13-15 years / Urban,,,99.53
2018,13-15 years / Rural,,,99.74
2018,13-15 years / Men,,,99.887
2018,13-15 years / Women,,,99.424
2018,,18-20 years / Total,,98.998
2018,,18-20 years / Urban,,99.138
2018,,18-20 years / Rural,,98.916
2018,,18-20 years / Men,,98.886
2018,,18-20 years / Women,,99.126
2018,,,18-20 years / Total,77.971
2018,,,21-23 years / Urban,89.111
2018,,,21-23 years / Rural,70.391
2018,,,21-23 years / Men,78.436
2018,,,21-23 years / Women,77.404
2019,,,,
2019,13-15 years / Total,,,99.563
2019,13-15 years / Urban,,,99.692
2019,13-15 years / Rural,,,99.498
2019,13-15 years / Men,,,99.7
2019,13-15 years / Women,,,99.403
2019,,18-20 years / Total,,99.094
2019,,18-20 years / Urban,,98.339
2019,,18-20 years / Rural,,99.554
2019,,18-20 years / Men,,99.225
2019,,18-20 years / Women,,98.953
2019,,,18-20 years / Total,80.526
2019,,,21-23 years / Urban,91.093
2019,,,21-23 years / Rural,72.868
2019,,,21-23 years / Men,77.35
2019,,,21-23 years / Women,83.704
2020,,,,
2020,13-15 years / Total,,,99.802
2020,13-15 years / Urban,,,99.72
2020,13-15 years / Rural,,,99.843
2020,13-15 years / Men,,,99.83
2020,13-15 years / Women,,,99.769
2020,,18-20 years / Total,,100
2020,,18-20 years / Urban,,100
2020,,18-20 years / Rural,,100
2020,,18-20 years / Men,,100
2020,,18-20 years / Women,,100
2020,,,18-20 years / Total,80.62
2020,,,21-23 years / Urban,88.743
2020,,,21-23 years / Rural,74.664
2020,,,21-23 years / Men,78.234
2020,,,21-23 years / Women,83.108
2021,,,,
2021,13-15 years / Total,,,100
2021,13-15 years / Urban,,,100
2021,13-15 years / Rural,,,100
2021,13-15 years / Men,,,100
2021,13-15 years / Women,,,100
2021,,18-20 years / Total,,99.083
2021,,18-20 years / Urban,,98.586
2021,,18-20 years / Rural,,99.397
2021,,18-20 years / Men,,99.084
2021,,18-20 years / Women,,99.082
2021,,,18-20 years / Total,78.117
2021,,,21-23 years / Urban,85.273
2021,,,21-23 years / Rural,72.088
2021,,,21-23 years / Men,74.828
2021,,,21-23 years / Women,81.344
2022,,,,
2022,13-15 years / Total,,,99.793
2022,13-15 years / Urban,,,99.685
2022,13-15 years / Rural,,,99.854
2022,13-15 years / Men,,,99.822
2022,13-15 years / Women,,,99.761
2022,,18-20 years / Total,,99.034
2022,,18-20 years / Urban,,98.634
2022,,18-20 years / Rural,,99.314
2022,,18-20 years / Men,,98.879
2022,,18-20 years / Women,,99.179
2022,,,18-20 years / Total,75.048
2022,,,21-23 years / Urban,82.967
2022,,,21-23 years / Rural,68.359
2022,,,21-23 years / Men,73.146
2022,,,21-23 years / Women,76.755
2023,,,,
2023,13-15 years / Total,,,99.801
2023,13-15 years / Urban,,,99.701
2023,13-15 years / Rural,,,99.857
2023,13-15 years / Men,,,99.823
2023,13-15 years / Women,,,99.778
2023,,18-20 years / Total,,99.226
2023,,18-20 years / Urban,,99.073
2023,,18-20 years / Rural,,99.355
2023,,18-20 years / Men,,99.507
2023,,18-20 years / Women,,98.968
2023,,,18-20 years / Total,78.487
2023,,,21-23 years / Urban,87.682
2023,,,21-23 years / Rural,68.436
2023,,,21-23 years / Men,78.278
2023,,,21-23 years / Women,78.684
2024,,,,
2024,13-15 years / Total,,,99.752
2024,13-15 years / Urban,,,99.778
2024,13-15 years / Rural,,,99.736
2024,13-15 years / Men,,,99.681
2024,13-15 years / Women,,,99.824
2024,,18-20 years / Total,,99.322
2024,,18-20 years / Urban,,98.85
2024,,18-20 years / Rural,,99.742
2024,,18-20 years / Men,,99.004
2024,,18-20 years / Women,,99.628
2024,,,18-20 years / Total,82.013
2024,,,21-23 years / Urban,90.499
2024,,,21-23 years / Rural,73.003
2024,,,21-23 years / Men,80.937
2024,,,21-23 years / Women,83.01
