Year,Sex,Value
2010,,
2010,Men,
2010,Women,
2011,,
2011,Men,
2011,Women,
2012,,
2012,Men,
2012,Women,
2013,,
2013,Men,
2013,Women,
2014,,50.6
2014,Men,44.1
2014,Women,57.3
2015,,50.3
2015,Men,43.6
2015,Women,57.1
2016,,51.9
2016,Men,45.7
2016,Women,58.4
2017,,52.8
2017,Men,45.9
2017,Women,59.9
2018,,54.8
2018,Men,47.3
2018,Women,62.5
2019,,56.2
2019,Men,47.6
2019,Women,65.2
2020,,61.3
2020,Men,51.3
2020,Women,71.7
2021,,68.1
2021,Men,56.9
2021,Women,79.5
2022,,71.2
2022,Men,60.5
2022,Women,81.7
2023,,74.7
2023,Men,64.2
2023,Women,84.8
