Year,Area of residence,Sex,Age group / Sex,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Men,,
2010,,Women,,
2010,,,15-24 / Both sexes,
2010,,,15-24 / Men,
2010,,,15-24 / Women,
2010,,,25-64 / Both sexes,
2010,,,25-64 / Men,
2010,,,25-64 / Women,
2011,,,,
2011,Urban,,,
2011,Rural,,,
2011,,Men,,
2011,,Women,,
2011,,,15-24 / Both sexes,
2011,,,15-24 / Men,
2011,,,15-24 / Women,
2011,,,25-64 / Both sexes,
2011,,,25-64 / Men,
2011,,,25-64 / Women,
2012,,,,
2012,Urban,,,
2012,Rural,,,
2012,,Men,,
2012,,Women,,
2012,,,15-24 / Both sexes,
2012,,,15-24 / Men,
2012,,,15-24 / Women,
2012,,,25-64 / Both sexes,
2012,,,25-64 / Men,
2012,,,25-64 / Women,
2013,,,,
2013,Urban,,,
2013,Rural,,,
2013,,Men,,
2013,,Women,,
2013,,,15-24 / Both sexes,
2013,,,15-24 / Men,
2013,,,15-24 / Women,
2013,,,25-64 / Both sexes,
2013,,,25-64 / Men,
2013,,,25-64 / Women,
2014,,,,11.1
2014,Urban,,,11.5
2014,Rural,,,10.8
2014,,Men,,11.5
2014,,Women,,10.8
2014,,,15-24 / Both sexes,57.1
2014,,,15-24 / Men,52.6
2014,,,15-24 / Women,62.4
2014,,,25-64 / Both sexes,1
2014,,,25-64 / Men,0.8
2014,,,25-64 / Women,1.1
2015,,,,10.3
2015,Urban,,,10
2015,Rural,,,10.5
2015,,Men,,10.4
2015,,Women,,10.2
2015,,,15-24 / Both sexes,56.2
2015,,,15-24 / Men,51.9
2015,,,15-24 / Women,60.8
2015,,,25-64 / Both sexes,0.9
2015,,,25-64 / Men,0.7
2015,,,25-64 / Women,1.2
2016,,,,10.1
2016,Urban,,,9.8
2016,Rural,,,10.3
2016,,Men,,10.5
2016,,Women,,9.8
2016,,,15-24 / Both sexes,57.9
2016,,,15-24 / Men,54.2
2016,,,15-24 / Women,62
2016,,,25-64 / Both sexes,1
2016,,,25-64 / Men,0.9
2016,,,25-64 / Women,1.1
2017,,,,10
2017,Urban,,,10.4
2017,Rural,,,9.8
2017,,Men,,10.5
2017,,Women,,9.6
2017,,,15-24 / Both sexes,61.3
2017,,,15-24 / Men,57.7
2017,,,15-24 / Women,65.4
2017,,,25-64 / Both sexes,2.1
2017,,,25-64 / Men,1.9
2017,,,25-64 / Women,2.2
2018,,,,9.1
2018,Urban,,,10.3
2018,Rural,,,8.4
2018,,Men,,9.3
2018,,Women,,9
2018,,,15-24 / Both sexes,59.6
2018,,,15-24 / Men,54
2018,,,15-24 / Women,65.9
2018,,,25-64 / Both sexes,1.4
2018,,,25-64 / Men,1.1
2018,,,25-64 / Women,1.6
2019,,,,8.7
2019,Urban,,,9.7
2019,Rural,,,8.1
2019,,Men,,9.1
2019,,Women,,8.4
2019,,,15-24 / Both sexes,60.9
2019,,,15-24 / Men,57
2019,,,15-24 / Women,64.9
2019,,,25-64 / Both sexes,1.5
2019,,,25-64 / Men,1.3
2019,,,25-64 / Women,1.7
2020,,,,8.9
2020,Urban,,,9.4
2020,Rural,,,8.5
2020,,Men,,9.2
2020,,Women,,8.6
2020,,,15-24 / Both sexes,64.4
2020,,,15-24 / Men,60.8
2020,,,15-24 / Women,68.3
2020,,,25-64 / Both sexes,1.2
2020,,,25-64 / Men,0.9
2020,,,25-64 / Women,1.4
2021,,,,8.8
2021,Urban,,,9.7
2021,Rural,,,8.3
2021,,Men,,9.1
2021,,Women,,8.6
2021,,,15-24 / Both sexes,66
2021,,,15-24 / Men,62.7
2021,,,15-24 / Women,69.4
2021,,,25-64 / Both sexes,1.1
2021,,,25-64 / Men,1
2021,,,25-64 / Women,1.3
2022,,,,8.8
2022,Urban,,,10.1
2022,Rural,,,8
2022,,Men,,8.9
2022,,Women,,8.7
2022,,,15-24 / Both sexes,63.3
2022,,,15-24 / Men,60.7
2022,,,15-24 / Women,65.8
2022,,,25-64 / Both sexes,1.3
2022,,,25-64 / Men,1.1
2022,,,25-64 / Women,1.4
