Year,Area of residence,Education levels,Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,Primary education,
2010,,Secondary school,
2010,,High school,
2011,,,
2011,Urban,,
2011,Rural,,
2011,,Primary education,
2011,,Secondary school,
2011,,High school,
2012,,,
2012,Urban,,
2012,Rural,,
2012,,Primary education,
2012,,Secondary school,
2012,,High school,
2013,,,
2013,Urban,,
2013,Rural,,
2013,,Primary education,
2013,,Secondary school,
2013,,High school,
2014,,,
2014,Urban,,
2014,Rural,,
2014,,Primary education,
2014,,Secondary school,
2014,,High school,
2015,,,
2015,Urban,,
2015,Rural,,
2015,,Primary education,
2015,,Secondary school,
2015,,High school,
2016,,,
2016,Urban,,
2016,Rural,,
2016,,Primary education,
2016,,Secondary school,
2016,,High school,
2017,,,
2017,Urban,,
2017,Rural,,
2017,,Primary education,
2017,,Secondary school,
2017,,High school,
2018,,,
2018,Urban,,
2018,Rural,,
2018,,Primary education,
2018,,Secondary school,
2018,,High school,
2019,,,
2019,Urban,,
2019,Rural,,
2019,,Primary education,
2019,,Secondary school,
2019,,High school,
2020,,,
2020,Urban,,
2020,Rural,,
2020,,Primary education,
2020,,Secondary school,
2020,,High school,
2021,,,
2021,Urban,,
2021,Rural,,
2021,,Primary education,
2021,,Secondary school,
2021,,High school,
2022,,,90
2022,Urban,,90
2022,Rural,,89.9
2022,,Primary education,87.9
2022,,Secondary school,91.8
2022,,High school,86.1
2023,,,93.4
2023,Urban,,92.3
2023,Rural,,93.7
2023,,Primary education,92.3
2023,,Secondary school,95.3
2023,,High school,89.2
2024,,,97
2024,Urban,,95.5
2024,Rural,,97.5
2024,,Primary education,93.1
2024,,Secondary school,96.9
2024,,High school,98.1
2025,,,98
2025,Urban,,95.7
2025,Rural,,97.6
2025,,Primary education,94.2
2025,,Secondary school,97.2
2025,,High school,98.3
