Year,Sex,Forms of ownership,Value
2010,,,
2010,Women,,
2010,Men,,
2010,,Public,
2010,,Other,
2011,,,
2011,Women,,
2011,Men,,
2011,,Public,
2011,,Other,
2012,,,
2012,Women,,
2012,Men,,
2012,,Public,
2012,,Other,
2013,,,93.8
2013,Women,,93.7
2013,Men,,94.2
2013,,Public,93.7
2013,,Other,98.6
2014,,,98.1
2014,Women,,97.7
2014,Men,,98.6
2014,,Public,98
2014,,Other,100
2015,,,99.2
2015,Women,,99.2
2015,Men,,97.4
2015,,Public,99.2
2015,,Other,98.4
2016,,,99.1
2016,Women,,99.2
2016,Men,,94.1
2016,,Public,99.1
2016,,Other,99.5
2017,,,99
2017,Women,,99.1
2017,Men,,91.5
2017,,Public,99
2017,,Other,98
2018,,,98.9
2018,Women,,99.1
2018,Men,,88.8
2018,,Public,99.1
2018,,Other,93.7
2019,,,99.1
2019,Women,,99.3
2019,Men,,90
2019,,Public,99.1
2019,,Other,98.7
2020,,,98.9
2020,Women,,99
2020,Men,,91
2020,,Public,98.9
2020,,Other,97.9
2021,,,99
2021,Women,,98.9
2021,Men,,100
2021,,Public,99
2021,,Other,98
2022,,,98.7
2022,Women,,98.2
2022,Men,,100
2022,,Public,98.6
2022,,Other,99
