Year,Area of residence,Value
2010,,
2010,Urban,
2010,Rural,
2011,,
2011,Urban,
2011,Rural,
2012,,
2012,Urban,
2012,Rural,
2013,,
2013,Urban,
2013,Rural,
2014,,22.6
2014,Urban,31.8
2014,Rural,16.9
2015,,21.912
2015,Urban,30.411
2015,Rural,16.623
2016,,21.917
2016,Urban,29.561
2016,Rural,17.123
2017,,21.827
2017,Urban,27.653
2017,Rural,18.124
2018,,23.01
2018,Urban,28.508
2018,Rural,19.372
2019,,26.289
2019,Urban,32.949
2019,Rural,21.717
2020,,17.431
2020,Urban,20.358
2020,Rural,15.344
2021,,23.49
2021,Urban,29.712
2021,Rural,18.909
2022,,28.6
2022,Urban,34.4
2022,Rural,24.2
2023,,33
2023,Urban,38.4
2023,Rural,28.8
