Year,Componente,Value
2010,,
2010,1.Maternity Care,
2010,2. Life Saving Commodities,
2010,3. Abortion,
2010,4. Post-Abortion Care,
2010,5. Contraceptive Services,
2010,6. Contraceptive Consent,
2010,7. Emergency Contraception,
2010,8. Sexuality Education Curriculum Laws,
2010,9. Sexuality Education Curriculum Topics,
2010,10. HIV Counselling and Test Services,
2010,11. HIV Treatment and Care Services,
2010,12. HIV Confidentiality,
2010,13. HPV Vaccine,
2011,,
2011,1.Maternity Care,
2011,2. Life Saving Commodities,
2011,3. Abortion,
2011,4. Post-Abortion Care,
2011,5. Contraceptive Services,
2011,6. Contraceptive Consent,
2011,7. Emergency Contraception,
2011,8. Sexuality Education Curriculum Laws,
2011,9. Sexuality Education Curriculum Topics,
2011,10. HIV Counselling and Test Services,
2011,11. HIV Treatment and Care Services,
2011,12. HIV Confidentiality,
2011,13. HPV Vaccine,
2012,,
2012,1.Maternity Care,
2012,2. Life Saving Commodities,
2012,3. Abortion,
2012,4. Post-Abortion Care,
2012,5. Contraceptive Services,
2012,6. Contraceptive Consent,
2012,7. Emergency Contraception,
2012,8. Sexuality Education Curriculum Laws,
2012,9. Sexuality Education Curriculum Topics,
2012,10. HIV Counselling and Test Services,
2012,11. HIV Treatment and Care Services,
2012,12. HIV Confidentiality,
2012,13. HPV Vaccine,
2013,,
2013,1.Maternity Care,
2013,2. Life Saving Commodities,
2013,3. Abortion,
2013,4. Post-Abortion Care,
2013,5. Contraceptive Services,
2013,6. Contraceptive Consent,
2013,7. Emergency Contraception,
2013,8. Sexuality Education Curriculum Laws,
2013,9. Sexuality Education Curriculum Topics,
2013,10. HIV Counselling and Test Services,
2013,11. HIV Treatment and Care Services,
2013,12. HIV Confidentiality,
2013,13. HPV Vaccine,
2014,,
2014,1.Maternity Care,
2014,2. Life Saving Commodities,
2014,3. Abortion,
2014,4. Post-Abortion Care,
2014,5. Contraceptive Services,
2014,6. Contraceptive Consent,
2014,7. Emergency Contraception,
2014,8. Sexuality Education Curriculum Laws,
2014,9. Sexuality Education Curriculum Topics,
2014,10. HIV Counselling and Test Services,
2014,11. HIV Treatment and Care Services,
2014,12. HIV Confidentiality,
2014,13. HPV Vaccine,
2015,,
2015,1.Maternity Care,
2015,2. Life Saving Commodities,
2015,3. Abortion,
2015,4. Post-Abortion Care,
2015,5. Contraceptive Services,
2015,6. Contraceptive Consent,
2015,7. Emergency Contraception,
2015,8. Sexuality Education Curriculum Laws,
2015,9. Sexuality Education Curriculum Topics,
2015,10. HIV Counselling and Test Services,
2015,11. HIV Treatment and Care Services,
2015,12. HIV Confidentiality,
2015,13. HPV Vaccine,
2016,,
2016,1.Maternity Care,
2016,2. Life Saving Commodities,
2016,3. Abortion,
2016,4. Post-Abortion Care,
2016,5. Contraceptive Services,
2016,6. Contraceptive Consent,
2016,7. Emergency Contraception,
2016,8. Sexuality Education Curriculum Laws,
2016,9. Sexuality Education Curriculum Topics,
2016,10. HIV Counselling and Test Services,
2016,11. HIV Treatment and Care Services,
2016,12. HIV Confidentiality,
2016,13. HPV Vaccine,
2017,,
2017,1.Maternity Care,
2017,2. Life Saving Commodities,
2017,3. Abortion,
2017,4. Post-Abortion Care,
2017,5. Contraceptive Services,
2017,6. Contraceptive Consent,
2017,7. Emergency Contraception,
2017,8. Sexuality Education Curriculum Laws,
2017,9. Sexuality Education Curriculum Topics,
2017,10. HIV Counselling and Test Services,
2017,11. HIV Treatment and Care Services,
2017,12. HIV Confidentiality,
2017,13. HPV Vaccine,
2018,,
2018,1.Maternity Care,
2018,2. Life Saving Commodities,
2018,3. Abortion,
2018,4. Post-Abortion Care,
2018,5. Contraceptive Services,
2018,6. Contraceptive Consent,
2018,7. Emergency Contraception,
2018,8. Sexuality Education Curriculum Laws,
2018,9. Sexuality Education Curriculum Topics,
2018,10. HIV Counselling and Test Services,
2018,11. HIV Treatment and Care Services,
2018,12. HIV Confidentiality,
2018,13. HPV Vaccine,
2019,,
2019,1.Maternity Care,75
2019,2. Life Saving Commodities,100
2019,3. Abortion,75
2019,4. Post-Abortion Care,100
2019,5. Contraceptive Services,100
2019,6. Contraceptive Consent,100
2019,7. Emergency Contraception,0
2019,8. Sexuality Education Curriculum Laws,100
2019,9. Sexuality Education Curriculum Topics,
2019,10. HIV Counselling and Test Services,80
2019,11. HIV Treatment and Care Services,80
2019,12. HIV Confidentiality,75
2019,13. HPV Vaccine,100
2020,,
2020,1.Maternity Care,
2020,2. Life Saving Commodities,
2020,3. Abortion,
2020,4. Post-Abortion Care,
2020,5. Contraceptive Services,
