Year,Economic activities,Value
2010,,6.6
2010,"Agriculture, forestry and fishing",10.2
2010,Mining and quarrying,21.4
2010,Manufacturing industry,1.7
2010,"Production and supply of electricity and heat, gas and hot water",64.6
2010,Other activities,2
2011,,6.5
2011,"Agriculture, forestry and fishing",10.3
2011,Mining and quarrying,21.2
2011,Manufacturing industry,0.6
2011,"Production and supply of electricity and heat, gas and hot water",65.6
2011,Other activities,1
2012,,6.5
2012,"Agriculture, forestry and fishing",10.2
2012,Mining and quarrying,21.5
2012,Manufacturing industry,1.8
2012,"Production and supply of electricity and heat, gas and hot water",65.4
2012,Other activities,1
2013,,6.4
2013,"Agriculture, forestry and fishing",10.7
2013,Mining and quarrying,20.3
2013,Manufacturing industry,1.8
2013,"Production and supply of electricity and heat, gas and hot water",66.1
2013,Other activities,1
2014,,6.4
2014,"Agriculture, forestry and fishing",10.5
2014,Mining and quarrying,20
2014,Manufacturing industry,1.9
2014,"Production and supply of electricity and heat, gas and hot water",66.3
2014,Other activities,1.2
2015,,6.4
2015,"Agriculture, forestry and fishing",10.6
2015,Mining and quarrying,20.2
2015,Manufacturing industry,1.9
2015,"Production and supply of electricity and heat, gas and hot water",66.2
2015,Other activities,1
2016,,6.4
2016,"Agriculture, forestry and fishing",10.6
2016,Mining and quarrying,20.4
2016,Manufacturing industry,1.8
2016,"Production and supply of electricity and heat, gas and hot water",66.1
2016,Other activities,1
2017,,6.4
2017,"Agriculture, forestry and fishing",10.5
2017,Mining and quarrying,20.5
2017,Manufacturing industry,1.9
2017,"Production and supply of electricity and heat, gas and hot water",66.2
2017,Other activities,1
2018,,6.4
2018,"Agriculture, forestry and fishing",10.6
2018,Mining and quarrying,20.5
2018,Manufacturing industry,1.3
2018,"Production and supply of electricity and heat, gas and hot water",66.3
2018,Other activities,1
2019,,6.4
2019,"Agriculture, forestry and fishing",10.7
2019,Mining and quarrying,20.6
2019,Manufacturing industry,1.3
2019,"Production and supply of electricity and heat, gas and hot water",66.1
2019,Other activities,1
2020,,6.5
2020,"Agriculture, forestry and fishing",11.5
2020,Mining and quarrying,20.4
2020,Manufacturing industry,1.3
2020,"Production and supply of electricity and heat, gas and hot water",65.6
2020,Other activities,1
2021,,6.4
2021,"Agriculture, forestry and fishing",11
2021,Mining and quarrying,20
2021,Manufacturing industry,1.3
2021,"Production and supply of electricity and heat, gas and hot water",66.4
2021,Other activities,1
2022,,
2022,"Agriculture, forestry and fishing",
2022,Mining and quarrying,
2022,Manufacturing industry,
2022,"Production and supply of electricity and heat, gas and hot water",
2022,Other activities,
