Year,Type of renewable technology,Value
2010,,18.96
2010,Bioenergy,18.96
2010,Geothermal,0
2010,Hydropower,0
2010,Multiple,0
2010,Solar,0
2010,Wind,0
2011,,3.34
2011,Bioenergy,0.02
2011,Geothermal,0
2011,Hydropower,0
2011,Multiple,0
2011,Solar,3.32
2011,Wind,0
2012,,3.45
2012,Bioenergy,0.1
2012,Geothermal,0
2012,Hydropower,0
2012,Multiple,0.32
2012,Solar,0
2012,Wind,3.03
2013,,22.73
2013,Bioenergy,21.58
2013,Geothermal,0
2013,Hydropower,0
2013,Multiple,1.15
2013,Solar,0
2013,Wind,0
2014,,0.29
2014,Bioenergy,0.03
2014,Geothermal,0
2014,Hydropower,0
2014,Multiple,0.23
2014,Solar,0.02
2014,Wind,0
2015,,0.53
2015,Bioenergy,0.01
2015,Geothermal,0
2015,Hydropower,0
2015,Multiple,0.43
2015,Solar,0.08
2015,Wind,0
2016,,0.26
2016,Bioenergy,0
2016,Geothermal,0
2016,Hydropower,0
2016,Multiple,0.02
2016,Solar,0.24
2016,Wind,0
2017,,0.23
2017,Bioenergy,0
2017,Geothermal,0
2017,Hydropower,0
2017,Multiple,0.19
2017,Solar,0.04
2017,Wind,0
2018,,0.1
2018,Bioenergy,0
2018,Geothermal,0
2018,Hydropower,0
2018,Multiple,0
2018,Solar,0.1
2018,Wind,0
2019,,0.23
2019,Bioenergy,0
2019,Geothermal,0
2019,Hydropower,0
2019,Multiple,0.12
2019,Solar,0.06
2019,Wind,0.06
2020,,0.09
2020,Bioenergy,0
2020,Geothermal,0
2020,Hydropower,0
2020,Multiple,0.06
2020,Solar,0.03
2020,Wind,0
2021,,0.33
2021,Bioenergy,0
2021,Geothermal,0
2021,Hydropower,0
2021,Multiple,0.06
2021,Solar,0.27
2021,Wind,0
2022,,19.58
2022,Bioenergy,0
2022,Geothermal,0
2022,Hydropower,0
2022,Multiple,18.85
2022,Solar,0.73
2022,Wind,0
2023,,36.65
2023,Bioenergy,0
2023,Geothermal,0
2023,Hydropower,0
2023,Multiple,35.31
2023,Solar,1.34
2023,Wind,0
