Year,Types of resources,Value
2010,,6
2010,Biomass,3.6
2010,xx,
2010,xx,
2010,xx,
2011,,6.2
2011,Biomass,3.6
2011,xx,
2011,xx,
2011,xx,
2012,,6.7
2012,Biomass,3.1
2012,xx,
2012,xx,
2012,xx,
2013,,7.2
2013,Biomass,4
2013,xx,
2013,xx,
2013,xx,
2014,,7.8
2014,Biomass,4.4
2014,xx,
2014,xx,
2014,xx,
2015,,6.5
2015,Biomass,3.3
2015,xx,
2015,xx,
2015,xx,
2016,,7.3
2016,Biomass,4.1
2016,xx,
2016,xx,
2016,xx,
2017,,8.1
2017,Biomass,4.7
2017,xx,
2017,xx,
2017,xx,
2018,,8.8
2018,Biomass,4.9
2018,xx,
2018,xx,
2018,xx,
2019,,9
2019,Biomass,4.9
2019,xx,
2019,xx,
2019,xx,
2020,,
2020,Biomass,
2020,xx,
2020,xx,
2020,xx,
2021,,
2021,Biomass,
2021,xx,
2021,xx,
2021,xx,
2022,,
2022,Biomass,
2022,xx,
2022,xx,
2022,xx,
