Year,Regions,Value
2010,,
2010,North,
2010,South,
2010,Center,
2010,ATU Gagauzia,
2010,Mun. Chisinau,
2011,,12.2
2011,North,6.287
2011,South,6.769
2011,Center,6.361
2011,ATU Gagauzia,-0.443
2011,Mun. Chisinau,14.241
2012,,12.9
2012,North,8.374
2012,South,5.517
2012,Center,9.585
2012,ATU Gagauzia,7.023
2012,Mun. Chisinau,13.614
2013,,11.6
2013,North,8.067
2013,South,7.843
2013,Center,11.838
2013,ATU Gagauzia,5.294
2013,Mun. Chisinau,9.822
2014,,12.4
2014,North,9.09
2014,South,10.367
2014,Center,9.163
2014,ATU Gagauzia,6.756
2014,Mun. Chisinau,11.363
2015,,13.2
2015,North,9.753
2015,South,8.008
2015,Center,8.089
2015,ATU Gagauzia,6.965
2015,Mun. Chisinau,13.536
2016,,14.5
2016,North,9.066
2016,South,7.807
2016,Center,7.33
2016,ATU Gagauzia,6.19
2016,Mun. Chisinau,15.799
2017,,13.5
2017,North,11.306
2017,South,6.138
2017,Center,6.203
2017,ATU Gagauzia,3.695
2017,Mun. Chisinau,14.654
2018,,14.4
2018,North,11.151
2018,South,7.316
2018,Center,7.824
2018,ATU Gagauzia,5.233
2018,Mun. Chisinau,15.425
2019,,14.1
2019,North,7.885
2019,South,4.927
2019,Center,6.196
2019,ATU Gagauzia,0.234
2019,Mun. Chisinau,16.354
2020,,13.7
2020,North,5.494
2020,South,2.192
2020,Center,2.923
2020,ATU Gagauzia,-1.015
2020,Mun. Chisinau,17.513
2021,,13.6
2021,North,2.352
2021,South,1.215
2021,Center,1.904
2021,ATU Gagauzia,-2.66
2021,Mun. Chisinau,17.696
2022,,
2022,North,
2022,South,
2022,Center,
2022,ATU Gagauzia,
2022,Mun. Chisinau,
