Year,Sex,Age group,Persons with disabilities,Education levels,Value
2010,,,,,
2010,Men,,,,
2010,Women,,,,
2010,,15-24 years,,,
2010,,25-34 years,,,
2010,,35-44 years,,,
2010,,45-54 years,,,
2010,,55-64 years,,,
2010,,,Total,,
2010,,,,Higher,
2010,,,,Post-secondary non-tertiary (secondary professional),
2010,,,,Upper secondary vocational,
2010,,,,"High school, upper secondary (general)",
2010,,,,Lower secondary (gymnasium),
2010,,,,Primary or no education,
2011,,,,,
2011,Men,,,,
2011,Women,,,,
2011,,15-24 years,,,
2011,,25-34 years,,,
2011,,35-44 years,,,
2011,,45-54 years,,,
2011,,55-64 years,,,
2011,,,Total,,
2011,,,,Higher,
2011,,,,Post-secondary non-tertiary (secondary professional),
2011,,,,Upper secondary vocational,
2011,,,,"High school, upper secondary (general)",
2011,,,,Lower secondary (gymnasium),
2011,,,,Primary or no education,
2012,,,,,
2012,Men,,,,
2012,Women,,,,
2012,,15-24 years,,,
2012,,25-34 years,,,
2012,,35-44 years,,,
2012,,45-54 years,,,
2012,,55-64 years,,,
2012,,,Total,,
2012,,,,Higher,
2012,,,,Post-secondary non-tertiary (secondary professional),
2012,,,,Upper secondary vocational,
2012,,,,"High school, upper secondary (general)",
2012,,,,Lower secondary (gymnasium),
2012,,,,Primary or no education,
2013,,,,,
2013,Men,,,,
2013,Women,,,,
2013,,15-24 years,,,
2013,,25-34 years,,,
2013,,35-44 years,,,
2013,,45-54 years,,,
2013,,55-64 years,,,
2013,,,Total,,
2013,,,,Higher,
2013,,,,Post-secondary non-tertiary (secondary professional),
2013,,,,Upper secondary vocational,
2013,,,,"High school, upper secondary (general)",
2013,,,,Lower secondary (gymnasium),
2013,,,,Primary or no education,
2014,,,,,3.7
2014,Men,,,,4.5
2014,Women,,,,2.9
2014,,15-24 years,,,9.3
2014,,25-34 years,,,4.6
2014,,35-44 years,,,4
2014,,45-54 years,,,2.5
2014,,55-64 years,,,1.6
2014,,,Total,,
2014,,,,Higher,3.9
2014,,,,Post-secondary non-tertiary (secondary professional),3.7
2014,,,,Upper secondary vocational,3.4
2014,,,,"High school, upper secondary (general)",4.3
2014,,,,Lower secondary (gymnasium),3.6
2014,,,,Primary or no education,1.5
2015,,,,,4.7
2015,Men,,,,5.9
2015,Women,,,,3.4
2015,,15-24 years,,,12.3
2015,,25-34 years,,,6.4
2015,,35-44 years,,,4.5
2015,,45-54 years,,,2.7
2015,,55-64 years,,,2.3
2015,,,Total,,
2015,,,,Higher,4.7
