Year,Age group / Sex,Value
2010,,
2010,15-24 years / Both sexes,
2010,15-24   years / Men,
2010,15-24  years  / Women,
2010,15-29  years  / Both sexes,
2010,15-29  years  / Men,
2010,15-29   years / Women,
2010,15-34   years / Both sexes,
2010,15-34  years  / Men,
2010,15-34   years / Women,
2011,,
2011,15-24 years / Both sexes,
2011,15-24   years / Men,
2011,15-24  years  / Women,
2011,15-29  years  / Both sexes,
2011,15-29  years  / Men,
2011,15-29   years / Women,
2011,15-34   years / Both sexes,
2011,15-34  years  / Men,
2011,15-34   years / Women,
2012,,
2012,15-24 years / Both sexes,
2012,15-24   years / Men,
2012,15-24  years  / Women,
2012,15-29  years  / Both sexes,
2012,15-29  years  / Men,
2012,15-29   years / Women,
2012,15-34   years / Both sexes,
2012,15-34  years  / Men,
2012,15-34   years / Women,
2013,,
2013,15-24 years / Both sexes,
2013,15-24   years / Men,
2013,15-24  years  / Women,
2013,15-29  years  / Both sexes,
2013,15-29  years  / Men,
2013,15-29   years / Women,
2013,15-34   years / Both sexes,
2013,15-34  years  / Men,
2013,15-34   years / Women,
2014,,
2014,15-24 years / Both sexes,27.9
2014,15-24   years / Men,29.8
2014,15-24  years  / Women,25.7
2014,15-29  years  / Both sexes,36.2
2014,15-29  years  / Men,35.2
2014,15-29   years / Women,37.4
2014,15-34   years / Both sexes,38.4
2014,15-34  years  / Men,36.6
2014,15-34   years / Women,40.2
2015,,
2015,15-24 years / Both sexes,27.7
2015,15-24   years / Men,29.6
2015,15-24  years  / Women,25.6
2015,15-29  years  / Both sexes,36.3
2015,15-29  years  / Men,35.8
2015,15-29   years / Women,37
2015,15-34   years / Both sexes,38.9
2015,15-34  years  / Men,37.9
2015,15-34   years / Women,40
2016,,
2016,15-24 years / Both sexes,26.8
2016,15-24   years / Men,28.8
2016,15-24  years  / Women,24.6
2016,15-29  years  / Both sexes,35
2016,15-29  years  / Men,34.7
2016,15-29   years / Women,35.3
2016,15-34   years / Both sexes,37.8
2016,15-34  years  / Men,36.7
2016,15-34   years / Women,39
2017,,
2017,15-24 years / Both sexes,19.4
2017,15-24   years / Men,16.6
2017,15-24  years  / Women,22.5
2017,15-29  years  / Both sexes,26.4
2017,15-29  years  / Men,20.1
2017,15-29   years / Women,33.4
2017,15-34   years / Both sexes,29.4
2017,15-34  years  / Men,22.2
2017,15-34   years / Women,36.9
2018,,
2018,15-24 years / Both sexes,16.2
2018,15-24   years / Men,14.6
2018,15-24  years  / Women,17.9
2018,15-29  years  / Both sexes,23.9
2018,15-29  years  / Men,18.1
2018,15-29   years / Women,30.2
2018,15-34   years / Both sexes,27.1
2018,15-34  years  / Men,20.2
2018,15-34   years / Women,34.1
2019,,
2019,15-24 years / Both sexes,19.5
2019,15-24   years / Men,16.5
2019,15-24  years  / Women,22.8
2019,15-29  years  / Both sexes,27.4
2019,15-29  years  / Men,19.4
2019,15-29   years / Women,35.5
2019,15-34   years / Both sexes,30.8
2019,15-34  years  / Men,21.2
2019,15-34   years / Women,40.3
2020,,
2020,15-24 years / Both sexes,17.6
2020,15-24   years / Men,15.6
2020,15-24  years  / Women,19.7
2020,15-29  years  / Both sexes,26
2020,15-29  years  / Men,19.6
2020,15-29   years / Women,32.5
2020,15-34   years / Both sexes,31.2
2020,15-34  years  / Men,22.9
2020,15-34   years / Women,39.4
2021,,
2021,15-24 years / Both sexes,17.2
2021,15-24   years / Men,14.1
2021,15-24  years  / Women,20.4
2021,15-29  years  / Both sexes,26.4
2021,15-29  years  / Men,18.8
2021,15-29   years / Women,33.9
2021,15-34   years / Both sexes,30.4
2021,15-34  years  / Men,20.6
2021,15-34   years / Women,39.9
2022,,
2022,15-24 years / Both sexes,17.204
2022,15-24   years / Men,13.546
2022,15-24  years  / Women,20.817
2022,15-29  years  / Both sexes,26.153
2022,15-29  years  / Men,17.461
2022,15-29   years / Women,34.637
2022,15-34   years / Both sexes,29.718
2022,15-34  years  / Men,19.456
2022,15-34   years / Women,39.366
2023,,
2023,15-24 years / Both sexes,13.828
2023,15-24   years / Men,11.515
2023,15-24  years  / Women,16.08
2023,15-29  years  / Both sexes,23.073
2023,15-29  years  / Men,15.322
2023,15-29   years / Women,30.275
2023,15-34   years / Both sexes,27.611
2023,15-34  years  / Men,19.307
2023,15-34   years / Women,35.17
