Year,SNA production boundary basis - Age group / Sex,SNA general production boundary basis - Age group / Sex,Value
2010,,,
2010,5-17 / Both sexes,,
2010,5-17 / Men,,
2010,5-17 / Women,,
2010,5-11 / Both sexes,,
2010,5-11 / Men,,
2010,5-11 / Women,,
2010,12-14 / Both sexes,,
2010,12-14 / Men,,
2010,12-14 / Women,,
2010,15-17 / Both sexes,,
2010,15-17 / Men,,
2010,15-17 / Women,,
2010,,5-17 / Both sexes,
2010,,5-17 / Men,
2010,,5-17 / Women,
2010,,5-11 / Both sexes,
2010,,5-11 / Men,
2010,,5-11 / Women,
2010,,12-14 / Both sexes,
2010,,12-14 / Men,
2010,,12-14 / Women,
2010,,15-17 / Both sexes,
2010,,15-17 / Men,
2010,,15-17 / Women,
2011,,,
2011,5-17 / Both sexes,,
2011,5-17 / Men,,
2011,5-17 / Women,,
2011,5-11 / Both sexes,,
2011,5-11 / Men,,
2011,5-11 / Women,,
2011,12-14 / Both sexes,,
2011,12-14 / Men,,
2011,12-14 / Women,,
2011,15-17 / Both sexes,,
2011,15-17 / Men,,
2011,15-17 / Women,,
2011,,5-17 / Both sexes,
2011,,5-17 / Men,
2011,,5-17 / Women,
2011,,5-11 / Both sexes,
2011,,5-11 / Men,
2011,,5-11 / Women,
2011,,12-14 / Both sexes,
2011,,12-14 / Men,
2011,,12-14 / Women,
2011,,15-17 / Both sexes,
2011,,15-17 / Men,
2011,,15-17 / Women,
2012,,,
2012,5-17 / Both sexes,,
2012,5-17 / Men,,
2012,5-17 / Women,,
2012,5-11 / Both sexes,,
2012,5-11 / Men,,
2012,5-11 / Women,,
2012,12-14 / Both sexes,,
2012,12-14 / Men,,
2012,12-14 / Women,,
2012,15-17 / Both sexes,,
2012,15-17 / Men,,
2012,15-17 / Women,,
2012,,5-17 / Both sexes,
2012,,5-17 / Men,
2012,,5-17 / Women,
2012,,5-11 / Both sexes,
2012,,5-11 / Men,
2012,,5-11 / Women,
2012,,12-14 / Both sexes,
2012,,12-14 / Men,
2012,,12-14 / Women,
2012,,15-17 / Both sexes,
2012,,15-17 / Men,
2012,,15-17 / Women,
2013,,,
2013,5-17 / Both sexes,,
2013,5-17 / Men,,
