Year,Type of technology,Value
2010,,
2010,3G,99
2010,4G,
2010,5G,
2011,,
2011,3G,99
2011,4G,
2011,5G,
2012,,
2012,3G,99
2012,4G,16
2012,5G,
2013,,
2013,3G,99
2013,4G,28
2013,5G,
2014,,
2014,3G,99
2014,4G,33
2014,5G,
2015,,
2015,3G,99
2015,4G,84
2015,5G,
2016,,
2016,3G,99
2016,4G,97
2016,5G,
2017,,
2017,3G,99.5
2017,4G,97
2017,5G,
2018,,
2018,3G,99.8
2018,4G,97
2018,5G,
2019,,
2019,3G,99.9
2019,4G,98
2019,5G,
2020,,
2020,3G,99.9
2020,4G,99
2020,5G,
2021,,
2021,3G,99.9
2021,4G,99
2021,5G,
2022,,
2022,3G,99.9
2022,4G,99
2022,5G,
2023,,
2023,3G,99.9
2023,4G,99
2023,5G,
2024,,
2024,3G,99.9
2024,4G,99
2024,5G,
2025,,
2025,3G,99.99
2025,4G,99.87
2025,5G,21.8
