Indicator,Disaggregations,Number of disaggregations
#1-1-1,Group,1
#1-1-1-1,"Area of residence, Sex, Age group, Age group 1 and Sex, Age group 2 and Sex, Employment status",6
#1-2-1,"Area of residence, Sex, Age group",3
#1-3-1-a,"Area of residence, Sex, Age group",3
#1-3-1-b,"Area of residence, Status",2
#1-3-1-h,"Area of residence, Quintile I, by area of residence",2
#1-3-1-i,"Area of residence, Quintile I, by area of residence",2
#1-4-1,"Area of residence, Sex, Age group, Sub-indicators",4
#1-5-1-a,"Classes of disasters, Age group",2
#1-5-1-c,"Classes of disasters, Age group",2
#1-5-2,Tipuri SE,1
#10-2-1,"Sex, Age group, The existence of disability",3
#11-1-1-a,"Area of residence, Sex, Quintiles on consumption expenditures, Age group, Existence of disability",5
#11-1-1-b,"Area of residence, Sex, Quintiles on consumption expenditures, Age group, Existence of disability",5
#11-5-1-a,"Classes of disasters, Age group",2
#11-5-1-c,"Classes of disasters, Age group",2
#11-5-3-b,"Types of critical infrastructure losses, Districts",2
#13-1-1-a,"Classes of disasters, Age group",2
#13-1-1-c,"Classes of disasters, Age group",2
#2-1-2,Age group / Sex,1
#3-8-2-1,"Area of residence, Sex of the head of the household, Quintiles on consumption expenditures, Age groups of head of household, years",4
#3-8-2-2,"Area of residence, Sex, Quintiles on consumption expenditures, Age group",4
#3-8-2-a,"Area of residence, Sex of the head of the household, Quintiles on consumption expenditures, Age groups of head of household, years, Household type",5
#3-8-2-b,"Area of residence, Sex of the head of the household, Quintiles on consumption expenditures, Age groups of head of household, years, Household type",5
#4-2-2,"Area of residence, Sex",2
#4-5-1-a,"Area of residence, Sex",2
#4-5-1-b,"Area of residence, Sexes",2
#4-5-1-c,Sex,1
#4-a-1-b,Area of residence,1
#4-a-1-c,Area of residence,1
#4-c-1-a,"Sex, Forms of ownership",2
#4-c-1-b,"Sex, Forms of ownership",2
#5-4-1-2,Area of residence,1
#5-b-1-1,"Area of residence, Sex of the head of the household",2
#6-1-1,"Area of residence, Sex of the head of the household, Statistical regions, Quintiles on consumption expenditures",4
#6-2-1-1,"Area of residence, Sex of the head of the household, Statistical regions, Quintiles on consumption expenditures",4
#6-2-1-a,"Area of residence, Sex of the head of the household, Statistical regions, Quintiles on consumption expenditures, Type of sewerage ",5
#7-1-1,Area of residence,1
#7-1-2,"Area of residence, Home heating systems - total, Home heating systems - urban, Home heating systems - rural, Food preparation - total, Food preparation - urban, Food preparation - rural",7
#7-1-2-1,"Bio-fuel and waste, Petrol products, Coal, Natural gas, Thermal energy, Electricity",6
#8-5-1-1,Regions,1
#9-1-2-a,Modes of transport,1
#9-1-2-b,Modes of transport,1
