Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-1-1-1,1
#1-2-1,1
#1-3-1-a,1
#1-3-1-b,1
#1-3-1-h,1
#1-3-1-i,1
#1-4-1,1
#10-3-1,1
#10-3-1-1,1
#11-1-1-a,1
#11-1-1-b,1
#16-1-3,1
#16-2-1,1
#3-2-1,1
#3-2-1-1,1
#3-5-2-1,1
#3-8-2-1,1
#3-8-2-2,1
#3-8-2-a,1
#3-8-2-b,1
#3-a-1,1
#4-1-2,3
#4-1-2-1,1
#4-2-2,1
#4-3-1,1
#4-5-1-a,1
#4-5-1-b,1
#4-a-1-a,1
#4-a-1-b,1
#4-a-1-c,1
#4-a-1-e,1
#4-a-1-f,1
#4-a-1-g,1
#5-2-1,1
#5-4-1,1
#5-4-1-2,1
#5-5-2,2
#5-b-1-1,1
#6-1-1,1
#6-2-1-1,1
#6-2-1-a,1
#7-1-1,1
#7-1-2,1
