Year,Area of residence,"Quintile I, by area of residence",Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,"Total, quintile I",
2010,,"Urban, quintile I",
2010,,"Rural, quintile I",
2011,,,
2011,Urban,,
2011,Rural,,
2011,,"Total, quintile I",
2011,,"Urban, quintile I",
2011,,"Rural, quintile I",
2012,,,
2012,Urban,,
2012,Rural,,
2012,,"Total, quintile I",
2012,,"Urban, quintile I",
2012,,"Rural, quintile I",
2013,,,
2013,Urban,,
2013,Rural,,
2013,,"Total, quintile I",
2013,,"Urban, quintile I",
2013,,"Rural, quintile I",
2014,,,
2014,Urban,,
2014,Rural,,
2014,,"Total, quintile I",
2014,,"Urban, quintile I",
2014,,"Rural, quintile I",
2015,,,
2015,Urban,,
2015,Rural,,
2015,,"Total, quintile I",
2015,,"Urban, quintile I",
2015,,"Rural, quintile I",
2016,,,
2016,Urban,,
2016,Rural,,
2016,,"Total, quintile I",
2016,,"Urban, quintile I",
2016,,"Rural, quintile I",
2017,,,
2017,Urban,,
2017,Rural,,
2017,,"Total, quintile I",
2017,,"Urban, quintile I",
2017,,"Rural, quintile I",
2018,,,
2018,Urban,,
2018,Rural,,
2018,,"Total, quintile I",
2018,,"Urban, quintile I",
2018,,"Rural, quintile I",
2019,,,
2019,Urban,,
2019,Rural,,
2019,,"Total, quintile I",
2019,,"Urban, quintile I",
2019,,"Rural, quintile I",
2020,,,
2020,Urban,,
2020,Rural,,
2020,,"Total, quintile I",
2020,,"Urban, quintile I",
2020,,"Rural, quintile I",
2021,,,
2021,Urban,,
2021,Rural,,
2021,,"Total, quintile I",
2021,,"Urban, quintile I",
2021,,"Rural, quintile I",
2022,,,
2022,Urban,,
2022,Rural,,
2022,,"Total, quintile I",
2022,,"Urban, quintile I",
2022,,"Rural, quintile I",
2023,,,
2023,Urban,,
2023,Rural,,
2023,,"Total, quintile I",
2023,,"Urban, quintile I",
2023,,"Rural, quintile I",
2024,,,
2024,Urban,,
2024,Rural,,
2024,,"Total, quintile I",
2024,,"Urban, quintile I",
2024,,"Rural, quintile I",
2025,,,66.4
2025,Urban,,64.8
2025,Rural,,67.9
2025,,"Total, quintile I",78.6
2025,,"Urban, quintile I",79.1
2025,,"Rural, quintile I",78.5
