Year,Classes of disasters,Age group,Sex,Districts,Value
2010,,,,,
2010,Technogenic,,,,
2010,Natural  (by genres),,,,
2010,Social and biological,,,,
2010,Fires,,,,
2010,,0-17 years,,,
2010,,18 years and over,,,
2010,,,Men,,
2010,,,Women,,
2010,,,,Mun. Chisinau,
2010,,,,North,
2010,,,,mun. Balti,
2010,,,,Briceni,
2010,,,,Donduseni,
2010,,,,Drochia,
2010,,,,Edinet,
2010,,,,Falesti,
2010,,,,Floresti,
2010,,,,Glodeni,
2010,,,,Ocnita,
2010,,,,Rascani,
2010,,,,Sangerei,
2010,,,,Soroca,
2010,,,,Centre,
2010,,,,Anenii Noi,
2010,,,,Calarasi,
2010,,,,Criuleni,
2010,,,,Dubasari,
2010,,,,Hancesti,
2010,,,,Ialoveni,
2010,,,,Nisporeni,
2010,,,,Orhei,
2010,,,,Rezina,
2010,,,,Straseni,
2010,,,,Soldanesti,
2010,,,,Telenesti,
2010,,,,Ungheni,
2010,,,,South,
2010,,,,Basarabeasca,
2010,,,,Cahul,
2010,,,,Cantemir,
2010,,,,Causeni,
2010,,,,Cimislia,
2010,,,,Leova,
2010,,,,Stefan Voda,
2010,,,,Taraclia,
2010,,,,ATU Gagauzia,
2011,,,,,
2011,Technogenic,,,,
2011,Natural  (by genres),,,,
2011,Social and biological,,,,
2011,Fires,,,,
2011,,0-17 years,,,
2011,,18 years and over,,,
2011,,,Men,,
2011,,,Women,,
2011,,,,Mun. Chisinau,
2011,,,,North,
2011,,,,mun. Balti,
2011,,,,Briceni,
2011,,,,Donduseni,
2011,,,,Drochia,
2011,,,,Edinet,
2011,,,,Falesti,
2011,,,,Floresti,
2011,,,,Glodeni,
2011,,,,Ocnita,
2011,,,,Rascani,
2011,,,,Sangerei,
2011,,,,Soroca,
2011,,,,Centre,
2011,,,,Anenii Noi,
2011,,,,Calarasi,
2011,,,,Criuleni,
2011,,,,Dubasari,
2011,,,,Hancesti,
2011,,,,Ialoveni,
2011,,,,Nisporeni,
2011,,,,Orhei,
2011,,,,Rezina,
2011,,,,Straseni,
2011,,,,Soldanesti,
2011,,,,Telenesti,
2011,,,,Ungheni,
2011,,,,South,
2011,,,,Basarabeasca,
2011,,,,Cahul,
2011,,,,Cantemir,
2011,,,,Causeni,
2011,,,,Cimislia,
2011,,,,Leova,
2011,,,,Stefan Voda,
2011,,,,Taraclia,
2011,,,,ATU Gagauzia,
2012,,,,,
2012,Technogenic,,,,
2012,Natural  (by genres),,,,
2012,Social and biological,,,,
2012,Fires,,,,
2012,,0-17 years,,,
2012,,18 years and over,,,
2012,,,Men,,
2012,,,Women,,
2012,,,,Mun. Chisinau,
2012,,,,North,
2012,,,,mun. Balti,
2012,,,,Briceni,
2012,,,,Donduseni,
2012,,,,Drochia,
2012,,,,Edinet,
2012,,,,Falesti,
2012,,,,Floresti,
2012,,,,Glodeni,
2012,,,,Ocnita,
2012,,,,Rascani,
2012,,,,Sangerei,
2012,,,,Soroca,
2012,,,,Centre,
2012,,,,Anenii Noi,
2012,,,,Calarasi,
2012,,,,Criuleni,
2012,,,,Dubasari,
2012,,,,Hancesti,
2012,,,,Ialoveni,
2012,,,,Nisporeni,
2012,,,,Orhei,
2012,,,,Rezina,
2012,,,,Straseni,
2012,,,,Soldanesti,
2012,,,,Telenesti,
2012,,,,Ungheni,
2012,,,,South,
2012,,,,Basarabeasca,
2012,,,,Cahul,
2012,,,,Cantemir,
2012,,,,Causeni,
2012,,,,Cimislia,
2012,,,,Leova,
2012,,,,Stefan Voda,
2012,,,,Taraclia,
2012,,,,ATU Gagauzia,
2013,,,,,0.0
2013,Technogenic,,,,0.0
2013,Natural  (by genres),,,,0.0
2013,Social and biological,,,,0.0
2013,Fires,,,,0.0
2013,,0-17 years,,,0.0
2013,,18 years and over,,,0.0
2013,,,Men,,0.0
2013,,,Women,,0.0
2013,,,,Mun. Chisinau,0.0
2013,,,,North,0.0
2013,,,,mun. Balti,0.0
2013,,,,Briceni,0.0
2013,,,,Donduseni,0.0
2013,,,,Drochia,0.0
2013,,,,Edinet,0.0
2013,,,,Falesti,0.0
2013,,,,Floresti,0.0
2013,,,,Glodeni,0.0
2013,,,,Ocnita,0.0
2013,,,,Rascani,0.0
2013,,,,Sangerei,0.0
2013,,,,Soroca,0.0
2013,,,,Centre,0.0
2013,,,,Anenii Noi,0.0
2013,,,,Calarasi,0.0
2013,,,,Criuleni,0.0
2013,,,,Dubasari,0.0
2013,,,,Hancesti,0.0
2013,,,,Ialoveni,0.0
2013,,,,Nisporeni,0.0
2013,,,,Orhei,0.0
2013,,,,Rezina,0.0
2013,,,,Straseni,0.0
2013,,,,Soldanesti,0.0
2013,,,,Telenesti,0.0
2013,,,,Ungheni,0.0
2013,,,,South,0.0
2013,,,,Basarabeasca,0.0
2013,,,,Cahul,0.0
2013,,,,Cantemir,0.0
2013,,,,Causeni,0.0
2013,,,,Cimislia,0.0
2013,,,,Leova,0.0
2013,,,,Stefan Voda,0.0
2013,,,,Taraclia,0.0
2013,,,,ATU Gagauzia,0.0
2014,,,,,0.0
2014,Technogenic,,,,0.0
2014,Natural  (by genres),,,,0.0
2014,Social and biological,,,,0.0
2014,Fires,,,,0.0
2014,,0-17 years,,,0.0
2014,,18 years and over,,,0.0
2014,,,Men,,0.0
2014,,,Women,,0.0
2014,,,,Mun. Chisinau,0.0
2014,,,,North,0.0
2014,,,,mun. Balti,0.0
2014,,,,Briceni,0.0
2014,,,,Donduseni,0.0
2014,,,,Drochia,0.0
2014,,,,Edinet,0.0
2014,,,,Falesti,0.0
2014,,,,Floresti,0.0
2014,,,,Glodeni,0.0
2014,,,,Ocnita,0.0
2014,,,,Rascani,0.0
2014,,,,Sangerei,0.0
2014,,,,Soroca,0.0
2014,,,,Centre,0.0
2014,,,,Anenii Noi,0.0
2014,,,,Calarasi,0.0
2014,,,,Criuleni,0.0
2014,,,,Dubasari,0.0
2014,,,,Hancesti,0.0
2014,,,,Ialoveni,0.0
2014,,,,Nisporeni,0.0
2014,,,,Orhei,0.0
2014,,,,Rezina,0.0
2014,,,,Straseni,0.0
2014,,,,Soldanesti,0.0
2014,,,,Telenesti,0.0
2014,,,,Ungheni,0.0
2014,,,,South,0.0
2014,,,,Basarabeasca,0.0
2014,,,,Cahul,0.0
2014,,,,Cantemir,0.0
2014,,,,Causeni,0.0
2014,,,,Cimislia,0.0
2014,,,,Leova,0.0
2014,,,,Stefan Voda,0.0
2014,,,,Taraclia,0.0
2014,,,,ATU Gagauzia,0.0
2015,,,,,0.0
2015,Technogenic,,,,0.0
2015,Natural  (by genres),,,,0.0
2015,Social and biological,,,,0.0
2015,Fires,,,,0.0
2015,,0-17 years,,,0.0
2015,,18 years and over,,,0.0
2015,,,Men,,0.0
2015,,,Women,,0.0
2015,,,,Mun. Chisinau,0.0
2015,,,,North,0.0
2015,,,,mun. Balti,0.0
2015,,,,Briceni,0.0
2015,,,,Donduseni,0.0
2015,,,,Drochia,0.0
2015,,,,Edinet,0.0
2015,,,,Falesti,0.0
2015,,,,Floresti,0.0
2015,,,,Glodeni,0.0
2015,,,,Ocnita,0.0
2015,,,,Rascani,0.0
2015,,,,Sangerei,0.0
2015,,,,Soroca,0.0
2015,,,,Centre,0.0
2015,,,,Anenii Noi,0.0
2015,,,,Calarasi,0.0
2015,,,,Criuleni,0.0
2015,,,,Dubasari,0.0
2015,,,,Hancesti,0.0
2015,,,,Ialoveni,0.0
2015,,,,Nisporeni,0.0
2015,,,,Orhei,0.0
2015,,,,Rezina,0.0
2015,,,,Straseni,0.0
2015,,,,Soldanesti,0.0
2015,,,,Telenesti,0.0
2015,,,,Ungheni,0.0
2015,,,,South,0.0
2015,,,,Basarabeasca,0.0
2015,,,,Cahul,0.0
2015,,,,Cantemir,0.0
2015,,,,Causeni,0.0
2015,,,,Cimislia,0.0
2015,,,,Leova,0.0
2015,,,,Stefan Voda,0.0
