Year,Sex,Age group,The existence of disability,Value
2010,,,,
2010,Men,,,
2010,Women,,,
2010,,0-17,,
2010,,18-29,,
2010,,30-39,,
2010,,40-49,,
2010,,50-59,,
2010,,60+,,
2010,,,People with disabilities,
2010,,,People without disabilities,
2011,,,,
2011,Men,,,
2011,Women,,,
2011,,0-17,,
2011,,18-29,,
2011,,30-39,,
2011,,40-49,,
2011,,50-59,,
2011,,60+,,
2011,,,People with disabilities,
2011,,,People without disabilities,
2012,,,,
2012,Men,,,
2012,Women,,,
2012,,0-17,,
2012,,18-29,,
2012,,30-39,,
2012,,40-49,,
2012,,50-59,,
2012,,60+,,
2012,,,People with disabilities,
2012,,,People without disabilities,
2013,,,,
2013,Men,,,
2013,Women,,,
2013,,0-17,,
2013,,18-29,,
2013,,30-39,,
2013,,40-49,,
2013,,50-59,,
2013,,60+,,
2013,,,People with disabilities,
2013,,,People without disabilities,
2014,,,,5.1
2014,Men,,,5.4
2014,Women,,,4.9
2014,,0-17,,9.4
2014,,18-29,,4.8
2014,,30-39,,7.1
2014,,40-49,,4.0
2014,,50-59,,2.8
2014,,60+,,2.2
2014,,,People with disabilities,4.4
2014,,,People without disabilities,4.9
2015,,,,5.9
2015,Men,,,6.3
2015,Women,,,5.6
2015,,0-17,,10.2
2015,,18-29,,5.6
2015,,30-39,,6.8
2015,,40-49,,5.7
2015,,50-59,,3.8
2015,,60+,,2.5
2015,,,People with disabilities,3.2
2015,,,People without disabilities,5.9
2016,,,,4.8
2016,Men,,,5.1
2016,Women,,,4.5
2016,,0-17,,9.1
2016,,18-29,,3.2
2016,,30-39,,5.9
2016,,40-49,,5.3
2016,,50-59,,2.7
2016,,60+,,1.9
2016,,,People with disabilities,3.4
2016,,,People without disabilities,4.7
2017,,,,5.1
2017,Men,,,5.5
2017,Women,,,4.9
2017,,0-17,,8.9
2017,,18-29,,5.5
2017,,30-39,,5.7
2017,,40-49,,4.6
2017,,50-59,,3.6
2017,,60+,,2.1
2017,,,People with disabilities,3.2
2017,,,People without disabilities,5.1
2018,,,,4.7
2018,Men,,,4.9
2018,Women,,,4.5
2018,,0-17,,8.5
2018,,18-29,,4.6
2018,,30-39,,5.9
2018,,40-49,,3.4
2018,,50-59,,3.2
2018,,60+,,1.9
2018,,,People with disabilities,3.2
2018,,,People without disabilities,4.6
2019,,,,5.15
2019,Men,,,5.402
2019,Women,,,4.93
2019,,0-17,,9.024
2019,,18-29,,6.265
2019,,30-39,,5.134
2019,,40-49,,4.903
2019,,50-59,,2.466
2019,,60+,,2.752
2019,,,People with disabilities,3.596
2019,,,People without disabilities,5.117
2020,,,,4.296
2020,Men,,,4.562
2020,Women,,,4.052
2020,,0-17,,7.085
2020,,18-29,,4.535
2020,,30-39,,6.646
2020,,40-49,,3.244
2020,,50-59,,2.613
2020,,60+,,1.931
2020,,,People with disabilities,2.434
2020,,,People without disabilities,4.261
2021,,,,5.293
2021,Men,,,5.204
2021,Women,,,5.368
2021,,0-17,,8.717
2021,,18-29,,4.759
2021,,30-39,,6.413
2021,,40-49,,4.997
2021,,50-59,,3.88
2021,,60+,,2.895
2021,,,People with disabilities,5.939
2021,,,People without disabilities,5.058
2022,,,,4.566
2022,Men,,,4.862
2022,Women,,,4.316
2022,,0-17,,7.412
2022,,18-29,,4.971
2022,,30-39,,4.584
2022,,40-49,,5.127
2022,,50-59,,2.912
2022,,60+,,2.63
2022,,,People with disabilities,3.801
2022,,,People without disabilities,4.466
2023,,,,4.328
2023,Men,,,4.805
2023,Women,,,3.926
2023,,0-17,,7.112
2023,,18-29,,3.518
2023,,30-39,,4.358
2023,,40-49,,4.737
2023,,50-59,,3.472
2023,,60+,,2.506
2023,,,People with disabilities,3.641
2023,,,People without disabilities,4.216
