Year,Strategies,Value
2010,,
2010,The Low Emissions Development Programme of the Republic of Moldova until 2030,
2010,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,
2011,,
2011,The Low Emissions Development Programme of the Republic of Moldova until 2030,
2011,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,
2012,,
2012,The Low Emissions Development Programme of the Republic of Moldova until 2030,
2012,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,
2013,,
2013,The Low Emissions Development Programme of the Republic of Moldova until 2030,
2013,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,
2014,,
2014,The Low Emissions Development Programme of the Republic of Moldova until 2030,
2014,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,
2015,,
2015,The Low Emissions Development Programme of the Republic of Moldova until 2030,
2015,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,25.0
2016,,
2016,The Low Emissions Development Programme of the Republic of Moldova until 2030,
2016,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,30.0
2017,,
2017,The Low Emissions Development Programme of the Republic of Moldova until 2030,30.0
2017,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,35.0
2018,,
2018,The Low Emissions Development Programme of the Republic of Moldova until 2030,35.0
2018,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,40.0
2019,,
2019,The Low Emissions Development Programme of the Republic of Moldova until 2030,50.0
2019,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,50.0
2020,,
2020,The Low Emissions Development Programme of the Republic of Moldova until 2030,65.0
2020,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,66.0
2021,,
2021,The Low Emissions Development Programme of the Republic of Moldova until 2030,68.7
2021,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,80.0
2022,,
2022,The Low Emissions Development Programme of the Republic of Moldova until 2030,78.0
2022,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,
2023,,
2023,The Low Emissions Development Programme of the Republic of Moldova until 2030,
2023,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,
2024,,29.4
2024,The Low Emissions Development Programme of the Republic of Moldova until 2030,13.9
2024,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,15.5
2025,,52.2
2025,The Low Emissions Development Programme of the Republic of Moldova until 2030,22.2
2025,The National Climate Change Adaptation Programme of the Republic of Moldova until 2030,30.0
