Year,Sex,Groups of persons,Countries of destination,Forms of exploitation,Area of residence,Level of education,Value
2010,,,,,,,
2010,Men,,,,,,
2010,Women,,,,,,
2010,,Adults,,,,,
2010,,Children,,,,,
2010,,,Republic of Moldova,,,,
2010,,,Russian Federation,,,,
2010,,,Germany,,,,
2010,,,Poland,,,,
2010,,,Turkey,,,,
2010,,,Italy,,,,
2010,,,Portugal,,,,
2010,,,Spain,,,,
2010,,,Cyprus,,,,
2010,,,Romania,,,,
2010,,,Greece,,,,
2010,,,Czech,,,,
2010,,,Other,,,,
2010,,,,Sexual,,,
2010,,,,Work,,,
2010,,,,Begging,,,
2010,,,,Mixt,,,
2010,,,,Surrogate,,,
2010,,,,Engaging in criminal activities,,,
2010,,,,"Sampling of human organs, tissues or cells",,,
2010,,,,,Urban,,
2010,,,,,Rural,,
2010,,,,,Resident of another country,,
2010,,,,,Person with no permanent place of residence,,
2010,,,,,,Higher education,
2010,,,,,,Incomplete higher education,
2010,,,,,,Specialized secondary education,
2010,,,,,,Secondary education,
2010,,,,,,Incomplete secondary education,
2010,,,,,,Primary education,
2010,,,,,,Other level of education,
2010,,,,,,Illiterate,
2011,,,,,,,
2011,Men,,,,,,
2011,Women,,,,,,
2011,,Adults,,,,,
2011,,Children,,,,,
2011,,,Republic of Moldova,,,,
2011,,,Russian Federation,,,,
2011,,,Germany,,,,
2011,,,Poland,,,,
2011,,,Turkey,,,,
2011,,,Italy,,,,
2011,,,Portugal,,,,
2011,,,Spain,,,,
2011,,,Cyprus,,,,
2011,,,Romania,,,,
2011,,,Greece,,,,
2011,,,Czech,,,,
2011,,,Other,,,,
2011,,,,Sexual,,,
2011,,,,Work,,,
2011,,,,Begging,,,
2011,,,,Mixt,,,
2011,,,,Surrogate,,,
2011,,,,Engaging in criminal activities,,,
2011,,,,"Sampling of human organs, tissues or cells",,,
2011,,,,,Urban,,
2011,,,,,Rural,,
2011,,,,,Resident of another country,,
2011,,,,,Person with no permanent place of residence,,
2011,,,,,,Higher education,
2011,,,,,,Incomplete higher education,
2011,,,,,,Specialized secondary education,
2011,,,,,,Secondary education,
2011,,,,,,Incomplete secondary education,
2011,,,,,,Primary education,
2011,,,,,,Other level of education,
2011,,,,,,Illiterate,
2012,,,,,,,
2012,Men,,,,,,
2012,Women,,,,,,
2012,,Adults,,,,,
2012,,Children,,,,,
2012,,,Republic of Moldova,,,,
2012,,,Russian Federation,,,,
2012,,,Germany,,,,
2012,,,Poland,,,,
2012,,,Turkey,,,,
2012,,,Italy,,,,
