Year,Civil Society Organizations Development Program 2024-2027,Civil Society Development Strategy 2018-2020,General objectives,Value
2010,,,,
2010,General objective 1. Improving access to decision-making processes at central and local public administration level,,,
2010,General objective 2. Ensuring sustainable funding for civil society organizations from both public and alternative sources,,,
2010,General objective 3. Strengthening the operating environment for civil society organizations to achieve their mission effectively and sustainably,,,
2010,,Total,,
2010,,,General objective 1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2010,,,General objective 2. Promoting and strengthening the financial sustainability of civil society,
2010,,,General objective 3. Development of active civic spirit and volunteering,
2011,,,,
2011,General objective 1. Improving access to decision-making processes at central and local public administration level,,,
2011,General objective 2. Ensuring sustainable funding for civil society organizations from both public and alternative sources,,,
2011,General objective 3. Strengthening the operating environment for civil society organizations to achieve their mission effectively and sustainably,,,
2011,,Total,,
2011,,,General objective 1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2011,,,General objective 2. Promoting and strengthening the financial sustainability of civil society,
2011,,,General objective 3. Development of active civic spirit and volunteering,
2012,,,,
2012,General objective 1. Improving access to decision-making processes at central and local public administration level,,,
2012,General objective 2. Ensuring sustainable funding for civil society organizations from both public and alternative sources,,,
2012,General objective 3. Strengthening the operating environment for civil society organizations to achieve their mission effectively and sustainably,,,
2012,,Total,,
2012,,,General objective 1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2012,,,General objective 2. Promoting and strengthening the financial sustainability of civil society,
2012,,,General objective 3. Development of active civic spirit and volunteering,
2013,,,,
2013,General objective 1. Improving access to decision-making processes at central and local public administration level,,,
2013,General objective 2. Ensuring sustainable funding for civil society organizations from both public and alternative sources,,,
2013,General objective 3. Strengthening the operating environment for civil society organizations to achieve their mission effectively and sustainably,,,
2013,,Total,,
2013,,,General objective 1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2013,,,General objective 2. Promoting and strengthening the financial sustainability of civil society,
