Year,Level of implementation,Value
2010,Fully,
2010,Partially,
2010,Not implemented,
2011,Fully,
2011,Partially,
2011,Not implemented,
2012,Fully,4.0
2012,Partially,
2012,Not implemented,
2013,Fully,13.4
2013,Partially,
2013,Not implemented,
2014,Fully,77.4
2014,Partially,
2014,Not implemented,
2015,Fully,
2015,Partially,
2015,Not implemented,
2016,Fully,6.9
2016,Partially,
2016,Not implemented,
2017,Fully,15.6
2017,Partially,
2017,Not implemented,
2018,Fully,19.2
2018,Partially,
2018,Not implemented,
2019,Fully,37.1
2019,Partially,
2019,Not implemented,
2020,Fully,44.0
2020,Partially,47.0
2020,Not implemented,9.0
2021,Fully,
2021,Partially,
2021,Not implemented,
2022,Fully,
2022,Partially,
2022,Not implemented,
