Year,Indicators,Value
2010,,1.0
2010,"Area, thousand hectares",20.0
2011,,1.0
2011,"Area, thousand hectares",20.0
2012,,2.0
2012,"Area, thousand hectares",40.0
2013,,3.0
2013,"Area, thousand hectares",60.0
2014,,3.0
2014,"Area, thousand hectares",60.0
2015,,3.5
2015,"Area, thousand hectares",70.0
2016,,3.5
2016,"Area, thousand hectares",70.0
2017,,3.5
2017,"Area, thousand hectares",70.0
2018,,4.0
2018,"Area, thousand hectares",80.0
2019,,4.0
2019,"Area, thousand hectares",80.0
2020,,4.0
2020,"Area, thousand hectares",80.0
2021,,5.0
2021,"Area, thousand hectares",100.0
2022,,5.0
2022,"Area, thousand hectares",100.0
2023,,6.0
2023,"Area, thousand hectares",120.0
2024,,6.0
2024,"Area, thousand hectares",120.0
