Year,Age group,Value
2010,,
2010,"18 years and over, adults",
2010,"0-17 years, children",
2011,,
2011,"18 years and over, adults",
2011,"0-17 years, children",
2012,,
2012,"18 years and over, adults",
2012,"0-17 years, children",
2013,,
2013,"18 years and over, adults",
2013,"0-17 years, children",
2014,,64.56
2014,"18 years and over, adults",83.21
2014,"0-17 years, children",2.13
2015,,55.96
2015,"18 years and over, adults",72.093
2015,"0-17 years, children",1.239
2016,,43.879
2016,"18 years and over, adults",56.554
2016,"0-17 years, children",0.785
2017,,44.897
2017,"18 years and over, adults",57.812
2017,"0-17 years, children",1.271
2018,,33.134
2018,"18 years and over, adults",42.675
2018,"0-17 years, children",0.969
2019,,37.084
2019,"18 years and over, adults",47.519
2019,"0-17 years, children",1.65
2020,,18.102
2020,"18 years and over, adults",23.143
2020,"0-17 years, children",0.839
2021,,23.249
2021,"18 years and over, adults",28.915
2021,"0-17 years, children",3.738
2022,,16.37
2022,"18 years and over, adults",20.09
2022,"0-17 years, children",2.76
2023,,24.77
2023,"18 years and over, adults",31.28
2023,"0-17 years, children",0.58
2024,,29.88
2024,"18 years and over, adults",37.56
2024,"0-17 years, children",0.8
