Year,Area of residence,Births at the age of 10-14 years old,Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,Total births at the age of 10-14 years old,
2010,,"Urban, births at the age of 10-14 years old",
2010,,"Rural, births at the age of 10-14 years old",
2011,,,
2011,Urban,,
2011,Rural,,
2011,,Total births at the age of 10-14 years old,
2011,,"Urban, births at the age of 10-14 years old",
2011,,"Rural, births at the age of 10-14 years old",
2012,,,
2012,Urban,,
2012,Rural,,
2012,,Total births at the age of 10-14 years old,
2012,,"Urban, births at the age of 10-14 years old",
2012,,"Rural, births at the age of 10-14 years old",
2013,,,
2013,Urban,,
2013,Rural,,
2013,,Total births at the age of 10-14 years old,
2013,,"Urban, births at the age of 10-14 years old",
2013,,"Rural, births at the age of 10-14 years old",
2014,,,32.152
2014,Urban,,15.904
2014,Rural,,40.985
2014,,Total births at the age of 10-14 years old,0.107
2014,,"Urban, births at the age of 10-14 years old",0.127
2014,,"Rural, births at the age of 10-14 years old",0.097
2015,,,34.14
2015,Urban,,16.795
2015,Rural,,42.858
2015,,Total births at the age of 10-14 years old,0.068
2015,,"Urban, births at the age of 10-14 years old",0.042
2015,,"Rural, births at the age of 10-14 years old",0.08
2016,,,34.485
2016,Urban,,19.153
2016,Rural,,41.731
2016,,Total births at the age of 10-14 years old,0.123
2016,,"Urban, births at the age of 10-14 years old",0.0
2016,,"Rural, births at the age of 10-14 years old",0.186
2017,,,31.804
2017,Urban,,15.597
2017,Rural,,39.01
2017,,Total births at the age of 10-14 years old,0.162
2017,,"Urban, births at the age of 10-14 years old",0.151
2017,,"Rural, births at the age of 10-14 years old",0.168
2018,,,31.297
2018,Urban,,15.582
2018,Rural,,38.143
2018,,Total births at the age of 10-14 years old,0.067
2018,,"Urban, births at the age of 10-14 years old",0.0
2018,,"Rural, births at the age of 10-14 years old",0.107
2019,,,28.383
2019,Urban,,16.696
2019,Rural,,33.75
2019,,Total births at the age of 10-14 years old,0.133
2019,,"Urban, births at the age of 10-14 years old",0.169
2019,,"Rural, births at the age of 10-14 years old",0.11
2020,,,27.231
2020,Urban,,12.742
2020,Rural,,34.45
2020,,Total births at the age of 10-14 years old,0.119
2020,,"Urban, births at the age of 10-14 years old",0.193
2020,,"Rural, births at the age of 10-14 years old",0.067
2021,,,26.4
2021,Urban,,11.5
2021,Rural,,34.5
2021,,Total births at the age of 10-14 years old,0.092
2021,,"Urban, births at the age of 10-14 years old",0.031
2021,,"Rural, births at the age of 10-14 years old",0.136
2022,,,22.7
2022,Urban,,10.1
2022,Rural,,30.2
2022,,Total births at the age of 10-14 years old,0.1
2022,,"Urban, births at the age of 10-14 years old",0.1
2022,,"Rural, births at the age of 10-14 years old",0.2
