Year,Area of residence,Sex,Age group / Sex,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Men,,
2010,,Women,,
2010,,,15-24 years / Both sexes,
2010,,,15-24 years / Men,
2010,,,15-24 years / Women,
2010,,,25-64 years / Both sexes,
2010,,,25-64 years / Men,
2010,,,25-64 years / Women,
2011,,,,
2011,Urban,,,
2011,Rural,,,
2011,,Men,,
2011,,Women,,
2011,,,15-24 years / Both sexes,
2011,,,15-24 years / Men,
2011,,,15-24 years / Women,
2011,,,25-64 years / Both sexes,
2011,,,25-64 years / Men,
2011,,,25-64 years / Women,
2012,,,,
2012,Urban,,,
2012,Rural,,,
2012,,Men,,
2012,,Women,,
2012,,,15-24 years / Both sexes,
2012,,,15-24 years / Men,
2012,,,15-24 years / Women,
2012,,,25-64 years / Both sexes,
2012,,,25-64 years / Men,
2012,,,25-64 years / Women,
2013,,,,
2013,Urban,,,
2013,Rural,,,
2013,,Men,,
2013,,Women,,
2013,,,15-24 years / Both sexes,
2013,,,15-24 years / Men,
2013,,,15-24 years / Women,
2013,,,25-64 years / Both sexes,
2013,,,25-64 years / Men,
2013,,,25-64 years / Women,
2014,,,,12.635
2014,Urban,,,13.197
2014,Rural,,,12.255
2014,,Men,,12.622
2014,,Women,,12.647
2014,,,15-24 years / Both sexes,56.351
2014,,,15-24 years / Men,51.642
2014,,,15-24 years / Women,61.768
2014,,,25-64 years / Both sexes,0.958
2014,,,25-64 years / Men,0.805
2014,,,25-64 years / Women,1.095
2015,,,,11.897
2015,Urban,,,11.648
2015,Rural,,,12.065
2015,,Men,,11.6
2015,,Women,,12.178
2015,,,15-24 years / Both sexes,55.693
2015,,,15-24 years / Men,51.354
2015,,,15-24 years / Women,60.448
2015,,,25-64 years / Both sexes,0.929
2015,,,25-64 years / Men,0.686
2015,,,25-64 years / Women,1.151
2016,,,,11.756
2016,Urban,,,11.487
2016,Rural,,,11.938
2016,,Men,,11.822
2016,,Women,,11.694
2016,,,15-24 years / Both sexes,57.323
2016,,,15-24 years / Men,53.532
2016,,,15-24 years / Women,61.537
2016,,,25-64 years / Both sexes,1.01
2016,,,25-64 years / Men,0.922
2016,,,25-64 years / Women,1.09
2017,,,,11.88
2017,Urban,,,12.464
2017,Rural,,,11.496
2017,,Men,,12.067
2017,,Women,,11.703
2017,,,15-24 years / Both sexes,57.744
2017,,,15-24 years / Men,54.592
2017,,,15-24 years / Women,61.283
2017,,,25-64 years / Both sexes,1.7
2017,,,25-64 years / Men,1.576
2017,,,25-64 years / Women,1.812
2018,,,,10.915
2018,Urban,,,12.338
2018,Rural,,,9.979
2018,,Men,,10.676
2018,,Women,,11.137
2018,,,15-24 years / Both sexes,57.572
2018,,,15-24 years / Men,52.748
2018,,,15-24 years / Women,62.885
2018,,,25-64 years / Both sexes,1.234
2018,,,25-64 years / Men,1.018
2018,,,25-64 years / Women,1.428
2019,,,,10.46
2019,Urban,,,11.47
2019,Rural,,,9.784
2019,,Men,,10.537
2019,,Women,,10.39
2019,,,15-24 years / Both sexes,57.305
2019,,,15-24 years / Men,54.708
2019,,,15-24 years / Women,60.055
2019,,,25-64 years / Both sexes,1.292
2019,,,25-64 years / Men,1.163
2019,,,25-64 years / Women,1.408
2020,,,,10.765
2020,Urban,,,11.315
2020,Rural,,,10.399
2020,,Men,,10.687
2020,,Women,,10.84
2020,,,15-24 years / Both sexes,62.51
2020,,,15-24 years / Men,59.683
2020,,,15-24 years / Women,65.546
2020,,,25-64 years / Both sexes,1.061
2020,,,25-64 years / Men,0.796
2020,,,25-64 years / Women,1.307
2021,,,,10.791
2021,Urban,,,11.658
2021,Rural,,,10.214
2021,,Men,,10.737
2021,,Women,,10.842
2021,,,15-24 years / Both sexes,63.865
2021,,,15-24 years / Men,61.011
2021,,,15-24 years / Women,66.863
2021,,,25-64 years / Both sexes,1.076
2021,,,25-64 years / Men,0.935
2021,,,25-64 years / Women,1.206
2022,,,,10.793
2022,Urban,,,11.961
2022,Rural,,,10.007
2022,,Men,,10.592
2022,,Women,,10.98
2022,,,15-24 years / Both sexes,63.279
2022,,,15-24 years / Men,60.742
2022,,,15-24 years / Women,65.786
2022,,,25-64 years / Both sexes,1.258
2022,,,25-64 years / Men,1.135
2022,,,25-64 years / Women,1.371
2023,,,,11.869
2023,Urban,,,13.639
2023,Rural,,,10.516
2023,,Men,,11.18
2023,,Women,,12.491
2023,,,15-24 years / Both sexes,66.869
2023,,,15-24 years / Men,63.234
2023,,,15-24 years / Women,70.409
2023,,,25-64 years / Both sexes,2.188
2023,,,25-64 years / Men,1.593
2023,,,25-64 years / Women,2.719
