Year,Area of residence,Education levels,Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,primary education,
2010,,secondary school,
2010,,high school,
2011,,,
2011,Urban,,
2011,Rural,,
2011,,primary education,
2011,,secondary school,
2011,,high school,
2012,,,
2012,Urban,,
2012,Rural,,
2012,,primary education,
2012,,secondary school,
2012,,high school,
2013,,,
2013,Urban,,
2013,Rural,,
2013,,primary education,
2013,,secondary school,
2013,,high school,
2014,,,
2014,Urban,,
2014,Rural,,
2014,,primary education,
2014,,secondary school,
2014,,high school,
2015,,,
2015,Urban,,
2015,Rural,,
2015,,primary education,
2015,,secondary school,
2015,,high school,
2016,,,
2016,Urban,,
2016,Rural,,
2016,,primary education,
2016,,secondary school,
2016,,high school,
2017,,,
2017,Urban,,
2017,Rural,,
2017,,primary education,
2017,,secondary school,
2017,,high school,
2018,,,
2018,Urban,,
2018,Rural,,
2018,,primary education,
2018,,secondary school,
2018,,high school,
2019,,,
2019,Urban,,
2019,Rural,,
2019,,primary education,
2019,,secondary school,
2019,,high school,
2020,,,
2020,Urban,,
2020,Rural,,
2020,,primary education,
2020,,secondary school,
2020,,high school,
2021,,,
2021,Urban,,
2021,Rural,,
2021,,primary education,
2021,,secondary school,
2021,,high school,
2022,,,90.0
2022,Urban,,90.0
2022,Rural,,89.9
2022,,primary education,87.9
2022,,secondary school,91.8
2022,,high school,86.1
2023,,,93.4
2023,Urban,,92.3
2023,Rural,,93.7
2023,,primary education,92.3
2023,,secondary school,95.3
2023,,high school,89.2
2024,,,97.0
2024,Urban,,95.5
2024,Rural,,97.5
2024,,primary education,93.1
2024,,secondary school,96.9
2024,,high school,98.1
2025,,,98.0
2025,Urban,,95.7
2025,Rural,,97.6
2025,,primary education,94.2
2025,,secondary school,97.2
2025,,high school,98.3
