Year,Area of residence,Value
2010,,
2010,Urban,
2010,Rural,
2011,,
2011,Urban,
2011,Rural,
2012,,
2012,Urban,
2012,Rural,
2013,,
2013,Urban,
2013,Rural,
2014,,22.6
2014,Urban,31.8
2014,Rural,16.9
2015,,21.9
2015,Urban,30.4
2015,Rural,16.6
2016,,21.9
2016,Urban,29.6
2016,Rural,17.1
2017,,21.8
2017,Urban,27.7
2017,Rural,18.1
2018,,23.0
2018,Urban,28.5
2018,Rural,19.4
2019,,26.3
2019,Urban,32.9
2019,Rural,21.7
2020,,17.4
2020,Urban,20.4
2020,Rural,15.3
2021,,23.5
2021,Urban,29.7
2021,Rural,18.9
2022,,28.6
2022,Urban,34.4
2022,Rural,24.2
2023,,33.0
2023,Urban,38.4
2023,Rural,28.8
2024,,29.9
2024,Urban,29.8
2024,Rural,29.9
2025,,29.8
2025,Urban,28.9
2025,Rural,30.7
