Year,Level of government,Function type,Value
2010,,,
2010,Central government,,
2010,"Local public authorities, level I",,
2010,"Local public authorities, level II",,
2010,,Senior management,
2010,,Management,
2010,,Executorial,
2011,,,
2011,Central government,,
2011,"Local public authorities, level I",,
2011,"Local public authorities, level II",,
2011,,Senior management,
2011,,Management,
2011,,Executorial,
2012,,,71.1
2012,Central government,,70.5
2012,"Local public authorities, level I",,75.7
2012,"Local public authorities, level II",,66.8
2012,,Senior management,30.0
2012,,Management,64.8
2012,,Executorial,73.8
2013,,,71.3
2013,Central government,,70.8
2013,"Local public authorities, level I",,75.6
2013,"Local public authorities, level II",,67.2
2013,,Senior management,33.3
2013,,Management,65.1
2013,,Executorial,73.3
2014,,,71.3
2014,Central government,,70.6
2014,"Local public authorities, level I",,75.8
2014,"Local public authorities, level II",,68.0
2014,,Senior management,37.0
2014,,Management,65.3
2014,,Executorial,73.4
2015,,,71.9
2015,Central government,,71.2
2015,"Local public authorities, level I",,76.1
2015,"Local public authorities, level II",,68.7
2015,,Senior management,34.7
2015,,Management,65.9
2015,,Executorial,73.9
2016,,,72.5
2016,Central government,,
2016,"Local public authorities, level I",,
2016,"Local public authorities, level II",,
2016,,Senior management,
2016,,Management,
2016,,Executorial,
2017,,,
2017,Central government,,
2017,"Local public authorities, level I",,
2017,"Local public authorities, level II",,
2017,,Senior management,
2017,,Management,
2017,,Executorial,
2018,,,71.1
2018,Central government,,65.3
2018,"Local public authorities, level I",,73.4
2018,"Local public authorities, level II",,74.4
2018,,Senior management,40.0
2018,,Management,68.4
2018,,Executorial,72.1
2019,,,74.2
2019,Central government,,73.0
2019,"Local public authorities, level I",,77.6
2019,"Local public authorities, level II",,72.8
2019,,Senior management,51.6
2019,,Management,70.5
2019,,Executorial,75.4
2020,,,73.6
2020,Central government,,72.0
2020,"Local public authorities, level I",,77.9
2020,"Local public authorities, level II",,72.7
2020,,Senior management,40.9
2020,,Management,69.4
2020,,Executorial,75.0
2021,,,74.4
2021,Central government,,73.1
2021,"Local public authorities, level I",,76.8
2021,"Local public authorities, level II",,74.9
2021,,Senior management,60.0
2021,,Management,70.4
2021,,Executorial,75.7
2022,,,74.6
2022,Central government,,73.4
2022,"Local public authorities, level I",,76.2
2022,"Local public authorities, level II",,76.4
2022,,Senior management,56.5
2022,,Management,70.6
2022,,Executorial,75.8
2023,,,75.3
2023,Central government,,73.5
2023,"Local public authorities, level I",,80.1
2023,"Local public authorities, level II",,74.7
2023,,Senior management,59.6
2023,,Management,72.3
2023,,Executorial,76.2
2024,,,75.6
2024,Central government,,73.6
2024,"Local public authorities, level I",,80.7
2024,"Local public authorities, level II",,75.5
2024,,Senior management,53.4
2024,,Management,75.0
2024,,Executorial,75.9
2025,,,76.2
2025,Central government,,74.4
2025,"Local public authorities, level I",,
2025,"Local public authorities, level II",,76.2
2025,,Senior management,56.3
2025,,Management,75.8
2025,,Executorial,76.5
