Year,Area of residence,Educational level,Wealth quintiles ,Age group,Socioeconomic status,Ethnicity,Value
2010,,,,,,,
2010,Urban,,,,,,
2010,Rural,,,,,,
2010,,xx,,,,,
2010,,xx,,,,,
2010,,xx,,,,,
2010,,,I,,,,
2010,,,II,,,,
2010,,,III,,,,
2010,,,IV,,,,
2010,,,V,,,,
2010,,,,15-24,,,
2010,,,,25-34,,,
2010,,,,35-44,,,
2010,,,,45-54,,,
2010,,,,55+,,,
2010,,,,,xx,,
2010,,,,,xx,,
2010,,,,,xx,,
2010,,,,,,xx,
2010,,,,,,xx,
2010,,,,,,xx,
2011,,,,,,,
2011,Urban,,,,,,
2011,Rural,,,,,,
2011,,xx,,,,,
2011,,xx,,,,,
2011,,xx,,,,,
2011,,,I,,,,
2011,,,II,,,,
2011,,,III,,,,
2011,,,IV,,,,
2011,,,V,,,,
2011,,,,15-24,,,
2011,,,,25-34,,,
2011,,,,35-44,,,
2011,,,,45-54,,,
2011,,,,55+,,,
2011,,,,,xx,,
2011,,,,,xx,,
2011,,,,,xx,,
2011,,,,,,xx,
2011,,,,,,xx,
2011,,,,,,xx,
2012,,,,,,,
2012,Urban,,,,,,
2012,Rural,,,,,,
2012,,xx,,,,,
2012,,xx,,,,,
2012,,xx,,,,,
2012,,,I,,,,
2012,,,II,,,,
2012,,,III,,,,
2012,,,IV,,,,
2012,,,V,,,,
2012,,,,15-24,,,
2012,,,,25-34,,,
2012,,,,35-44,,,
2012,,,,45-54,,,
2012,,,,55+,,,
2012,,,,,xx,,
2012,,,,,xx,,
2012,,,,,xx,,
2012,,,,,,xx,
2012,,,,,,xx,
2012,,,,,,xx,
2013,,,,,,,
2013,Urban,,,,,,
2013,Rural,,,,,,
2013,,xx,,,,,
2013,,xx,,,,,
2013,,xx,,,,,
2013,,,I,,,,
2013,,,II,,,,
2013,,,III,,,,
2013,,,IV,,,,
2013,,,V,,,,
2013,,,,15-24,,,
2013,,,,25-34,,,
2013,,,,35-44,,,
2013,,,,45-54,,,
2013,,,,55+,,,
2013,,,,,xx,,
2013,,,,,xx,,
2013,,,,,xx,,
2013,,,,,,xx,
2013,,,,,,xx,
2013,,,,,,xx,
2014,,,,,,,
2014,Urban,,,,,,
2014,Rural,,,,,,
2014,,xx,,,,,
2014,,xx,,,,,
2014,,xx,,,,,
2014,,,I,,,,
2014,,,II,,,,
2014,,,III,,,,
2014,,,IV,,,,
2014,,,V,,,,
2014,,,,15-24,,,
2014,,,,25-34,,,
2014,,,,35-44,,,
2014,,,,45-54,,,
2014,,,,55+,,,
2014,,,,,xx,,
2014,,,,,xx,,
2014,,,,,xx,,
2014,,,,,,xx,
2014,,,,,,xx,
2014,,,,,,xx,
2015,,,,,,,
2015,Urban,,,,,,
2015,Rural,,,,,,
2015,,xx,,,,,
2015,,xx,,,,,
2015,,xx,,,,,
2015,,,I,,,,
2015,,,II,,,,
2015,,,III,,,,
2015,,,IV,,,,
2015,,,V,,,,
2015,,,,15-24,,,
2015,,,,25-34,,,
2015,,,,35-44,,,
2015,,,,45-54,,,
2015,,,,55+,,,
2015,,,,,xx,,
2015,,,,,xx,,
2015,,,,,xx,,
2015,,,,,,xx,
2015,,,,,,xx,
2015,,,,,,xx,
2016,,,,,,,
2016,Urban,,,,,,
2016,Rural,,,,,,
