Year,Economic activities,Value
2010,,
2010,"Agriculture, forestry and fishing",
2010,Mining and quarrying,
2010,Manufacturing,
2010,"Production and supply of electric energy and heat, gas and hot water",
2010,Other activities,
2011,,
2011,"Agriculture, forestry and fishing",
2011,Mining and quarrying,
2011,Manufacturing,
2011,"Production and supply of electric energy and heat, gas and hot water",
2011,Other activities,
2012,,
2012,"Agriculture, forestry and fishing",
2012,Mining and quarrying,
2012,Manufacturing,
2012,"Production and supply of electric energy and heat, gas and hot water",
2012,Other activities,
2013,,
2013,"Agriculture, forestry and fishing",
2013,Mining and quarrying,
2013,Manufacturing,
2013,"Production and supply of electric energy and heat, gas and hot water",
2013,Other activities,
2014,,
2014,"Agriculture, forestry and fishing",
2014,Mining and quarrying,
2014,Manufacturing,
2014,"Production and supply of electric energy and heat, gas and hot water",
2014,Other activities,
2015,,
2015,"Agriculture, forestry and fishing",
2015,Mining and quarrying,
2015,Manufacturing,
2015,"Production and supply of electric energy and heat, gas and hot water",
2015,Other activities,
2016,,
2016,"Agriculture, forestry and fishing",
2016,Mining and quarrying,
2016,Manufacturing,
2016,"Production and supply of electric energy and heat, gas and hot water",
2016,Other activities,
2017,,
2017,"Agriculture, forestry and fishing",
2017,Mining and quarrying,
2017,Manufacturing,
2017,"Production and supply of electric energy and heat, gas and hot water",
2017,Other activities,
2018,,
2018,"Agriculture, forestry and fishing",
2018,Mining and quarrying,
2018,Manufacturing,
2018,"Production and supply of electric energy and heat, gas and hot water",
2018,Other activities,
2019,,
2019,"Agriculture, forestry and fishing",
2019,Mining and quarrying,
2019,Manufacturing,
2019,"Production and supply of electric energy and heat, gas and hot water",
2019,Other activities,
2020,,
2020,"Agriculture, forestry and fishing",
2020,Mining and quarrying,
2020,Manufacturing,
2020,"Production and supply of electric energy and heat, gas and hot water",
2020,Other activities,
2021,,
2021,"Agriculture, forestry and fishing",
2021,Mining and quarrying,
2021,Manufacturing,
2021,"Production and supply of electric energy and heat, gas and hot water",
2021,Other activities,
2022,,
2022,"Agriculture, forestry and fishing",
2022,Mining and quarrying,
2022,Manufacturing,
2022,"Production and supply of electric energy and heat, gas and hot water",
2022,Other activities,
