Year,Urban,Rural,Value
2010,,,
2010,Area of residence,,
2010,,,
2011,,,
2011,Area of residence,,
2011,,,
2012,,,
2012,Area of residence,,
2012,,,
2013,,,
2013,Area of residence,,
2013,,,
2014,,,100.0
2014,Area of residence,,100.0
2014,,,100.0
2015,,,100.0
2015,Area of residence,,100.0
2015,,,100.0
2016,,,100.0
2016,Area of residence,,99.9
2016,,,100.0
2017,,,100.0
2017,Area of residence,,99.9
2017,,,100.0
2018,,,100.0
2018,Area of residence,,100.0
2018,,,100.0
2019,,,100.0
2019,Area of residence,,100.0
2019,,,100.0
2020,,,100.0
2020,Area of residence,,100.0
2020,,,100.0
2021,,,100.0
2021,Area of residence,,100.0
2021,,,100.0
2022,,,
2022,Area of residence,,
2022,,,
