Year,Regions,Value
2010,,
2010,Mun. Chișinău,
2010,North,
2010,Center,
2010,South,
2010,ATU Gagauzia,
2011,,
2011,Mun. Chișinău,
2011,North,
2011,Center,
2011,South,
2011,ATU Gagauzia,
2012,,
2012,Mun. Chișinău,
2012,North,
2012,Center,
2012,South,
2012,ATU Gagauzia,
2013,,
2013,Mun. Chișinău,
2013,North,
2013,Center,
2013,South,
2013,ATU Gagauzia,
2014,,
2014,Mun. Chișinău,
2014,North,
2014,Center,
2014,South,
2014,ATU Gagauzia,
2015,,0.084
2015,Mun. Chișinău,
2015,North,
2015,Center,
2015,South,
2015,ATU Gagauzia,
2016,,5.87
2016,Mun. Chișinău,
2016,North,
2016,Center,
2016,South,
2016,ATU Gagauzia,
2017,,5.99
2017,Mun. Chișinău,
2017,North,
2017,Center,
2017,South,
2017,ATU Gagauzia,
2018,,5.92
2018,Mun. Chișinău,
2018,North,
2018,Center,
2018,South,
2018,ATU Gagauzia,
2019,,5.223
2019,Mun. Chișinău,
2019,North,
2019,Center,
2019,South,
2019,ATU Gagauzia,
2020,,-7.263
2020,Mun. Chișinău,-7.767
2020,North,-9.443
2020,Center,-7.119
2020,South,-10.037
2020,ATU Gagauzia,-11.055
2021,,15.656
2021,Mun. Chișinău,11.744
2021,North,16.637
2021,Center,18.697
2021,South,23.393
2021,ATU Gagauzia,17.971
2022,,-2.116
2022,Mun. Chișinău,-2.474
2022,North,-4.851
2022,Center,-3.833
2022,South,-6.244
2022,ATU Gagauzia,-3.77
2023,,4.1
2023,Mun. Chișinău,
2023,North,
2023,Center,
2023,South,
2023,ATU Gagauzia,
2024,,2.4
2024,Mun. Chișinău,
2024,North,
2024,Center,
2024,South,
2024,ATU Gagauzia,
