Year,Status,Value
2010,,
2010,Insured,
2010,Uninsured,
2011,,
2011,Insured,
2011,Uninsured,
2012,,
2012,Insured,
2012,Uninsured,
2013,,
2013,Insured,
2013,Uninsured,
2014,,70.358
2014,Insured,36.224
2014,Uninsured,34.134
2015,,69.006
2015,Insured,37.677
2015,Uninsured,31.329
2016,,70.032
2016,Insured,39.666
2016,Uninsured,30.366
2017,,71.622
2017,Insured,42.445
2017,Uninsured,29.177
2018,,82.147
2018,Insured,45.884
2018,Uninsured,36.2
2019,,93.524
2019,Insured,52.028
2019,Uninsured,41.496
2020,,94.078
2020,Insured,55.741
2020,Uninsured,38.337
2021,,93.8
2021,Insured,55.4
2021,Uninsured,38.4
2022,,89.5
2022,Insured,52.4
2022,Uninsured,37.1
