Year,Area of residence,Sex,Age group,Sub-indicators,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,Men,,,
2010,,Women,,,
2010,,,0-17,,
2010,,,15+,,
2010,,,57+ (women) / 62+ (men),,
2010,,,,Access to electricity,
2010,,,,Access to safely managed water sources,
2010,,,,Access to sewerage,
2010,,,,Access to internet,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,Men,,,
2011,,Women,,,
2011,,,0-17,,
2011,,,15+,,
2011,,,57+ (women) / 62+ (men),,
2011,,,,Access to electricity,
2011,,,,Access to safely managed water sources,
2011,,,,Access to sewerage,
2011,,,,Access to internet,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,Men,,,
2012,,Women,,,
2012,,,0-17,,
2012,,,15+,,
2012,,,57+ (women) / 62+ (men),,
2012,,,,Access to electricity,
2012,,,,Access to safely managed water sources,
2012,,,,Access to sewerage,
2012,,,,Access to internet,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,Men,,,
2013,,Women,,,
2013,,,0-17,,
2013,,,15+,,
2013,,,57+ (women) / 62+ (men),,
2013,,,,Access to electricity,
2013,,,,Access to safely managed water sources,
2013,,,,Access to sewerage,
2013,,,,Access to internet,
2014,,,,,62.5
2014,Urban,,,,92.8
2014,Rural,,,,40.8
2014,,Men,,,62.7
2014,,Women,,,62.4
2014,,,0-17,,62.5
2014,,,15+,,62.6
2014,,,57+ (women) / 62+ (men),,52.7
2014,,,,Access to electricity,100.0
2014,,,,Access to safely managed water sources,73.063
2014,,,,Access to sewerage,62.8
2014,,,,Access to internet,
2015,,,,,66.1
2015,Urban,,,,93.5
2015,Rural,,,,46.5
2015,,Men,,,65.9
2015,,Women,,,66.3
2015,,,0-17,,66.4
2015,,,15+,,65.9
2015,,,57+ (women) / 62+ (men),,56.5
2015,,,,Access to electricity,100.0
2015,,,,Access to safely managed water sources,76.983
2015,,,,Access to sewerage,66.6
2015,,,,Access to internet,
2016,,,,,66.7
2016,Urban,,,,92.0
2016,Rural,,,,48.4
2016,,Men,,,66.0
2016,,Women,,,67.2
2016,,,0-17,,66.3
2016,,,15+,,66.5
2016,,,57+ (women) / 62+ (men),,59.0
2016,,,,Access to electricity,100.0
2016,,,,Access to safely managed water sources,77.25
2016,,,,Access to sewerage,67.1
2016,,,,Access to internet,
2017,,,,,69.2
2017,Urban,,,,93.4
2017,Rural,,,,52.3
2017,,Men,,,69.4
2017,,Women,,,69.1
2017,,,0-17,,67.2
2017,,,15+,,69.4
2017,,,57+ (women) / 62+ (men),,62.7
2017,,,,Access to electricity,100.0
2017,,,,Access to safely managed water sources,80.818
2017,,,,Access to sewerage,69.5
2017,,,,Access to internet,
2018,,,,,72.1
2018,Urban,,,,95.1
2018,Rural,,,,56.1
2018,,Men,,,72.3
2018,,Women,,,72.0
2018,,,0-17,,73.2
2018,,,15+,,71.6
2018,,,57+ (women) / 62+ (men),,65.7
2018,,,,Access to electricity,100.0
2018,,,,Access to safely managed water sources,82.079
2018,,,,Access to sewerage,72.3
2018,,,,Access to internet,
2019,,,,,61.002
2019,Urban,,,,80.909
2019,Rural,,,,47.858
2019,,Men,,,61.404
2019,,Women,,,60.651
2019,,,0-17,,71.44
2019,,,15+,,58.335
2019,,,57+ (women) / 62+ (men),,39.45
2019,,,,Access to electricity,99.992
2019,,,,Access to safely managed water sources,83.144
2019,,,,Access to sewerage,74.519
2019,,,,Access to internet,70.796
2020,,,,,65.161
2020,Urban,,,,84.211
2020,Rural,,,,52.609
2020,,Men,,,66.251
2020,,Women,,,64.166
2020,,,0-17,,76.172
2020,,,15+,,62.5
2020,,,57+ (women) / 62+ (men),,43.857
2020,,,,Access to electricity,99.988
2020,,,,Access to safely managed water sources,85.342
2020,,,,Access to sewerage,77.619
2020,,,,Access to internet,74.195
2021,,,,,68.448
2021,Urban,,,,85.413
2021,Rural,,,,57.296
2021,,Men,,,69.222
2021,,Women,,,67.796
2021,,,0-17,,79.632
2021,,,15+,,65.881
2021,,,57+ (women) / 62+ (men),,43.571
2021,,,,Access to electricity,99.986
2021,,,,Access to safely managed water sources,86.411
2021,,,,Access to sewerage,80.394
2021,,,,Access to internet,76.424
2022,,,,,69.282
2022,Urban,,,,85.272
2022,Rural,,,,58.779
2022,,Men,,,69.923
2022,,Women,,,68.739
2022,,,0-17,,81.022
2022,,,15+,,66.351
2022,,,57+ (women) / 62+ (men),,45.745
2022,,,,Access to electricity,100.0
2022,,,,Access to safely managed water sources,88.522
2022,,,,Access to sewerage,81.464
2022,,,,Access to internet,77.577
2023,,,,,72.764
2023,Urban,,,,85.885
2023,Rural,,,,62.9
2023,,Men,,,73.754
2023,,Women,,,71.93
2023,,,0-17,,82.362
2023,,,15+,,70.718
2023,,,57+ (women) / 62+ (men),,51.218
2023,,,,Access to electricity,100.0
2023,,,,Access to safely managed water sources,90.729
2023,,,,Access to sewerage,85.02
2023,,,,Access to internet,79.071
