Year,Classes of disasters,Age group,Value
2010,,,
2010,Technogenic,,
2010,Natural  (by genres),,
2010,Social and biological,,
2010,Fires,,
2010,,Including children (0-17 years),
2010,,18 years and over,
2011,,,
2011,Technogenic,,
2011,Natural  (by genres),,
2011,Social and biological,,
2011,Fires,,
2011,,Including children (0-17 years),
2011,,18 years and over,
2012,,,
2012,Technogenic,,
2012,Natural  (by genres),,
2012,Social and biological,,
2012,Fires,,
2012,,Including children (0-17 years),
2012,,18 years and over,
2013,,,45.8
2013,Technogenic,,0.0
2013,Natural  (by genres),,9.9
2013,Social and biological,,3.7
2013,Fires,,32.2
2013,,Including children (0-17 years),2.3
2013,,18 years and over,43.5
2014,,,94.0
2014,Technogenic,,0.1
2014,Natural  (by genres),,42.8
2014,Social and biological,,14.9
2014,Fires,,36.2
2014,,Including children (0-17 years),5.5
2014,,18 years and over,88.5
2015,,,30.4
2015,Technogenic,,0.4
2015,Natural  (by genres),,0.0
2015,Social and biological,,4.2
2015,Fires,,25.9
2015,,Including children (0-17 years),2.1
2015,,18 years and over,28.3
2016,,,57.4
2016,Technogenic,,0.3
2016,Natural  (by genres),,23.1
2016,Social and biological,,11.0
2016,Fires,,22.9
2016,,Including children (0-17 years),6.3
2016,,18 years and over,51.1
2017,,,65.9
2017,Technogenic,,0.0
2017,Natural  (by genres),,50.6
2017,Social and biological,,1.7
2017,Fires,,13.7
2017,,Including children (0-17 years),6.2
2017,,18 years and over,60.0
2018,,,36.5
2018,Technogenic,,0.6
2018,Natural  (by genres),,6.7
2018,Social and biological,,8.5
2018,Fires,,20.9
2018,,Including children (0-17 years),4.7
2018,,18 years and over,32.0
2019,,,18.9
2019,Technogenic,,0.2
2019,Natural  (by genres),,0.0
2019,Social and biological,,0.1
2019,Fires,,18.6
2019,,Including children (0-17 years),0.0
2019,,18 years and over,19.0
2020,,,14.6
2020,Technogenic,,0.2
2020,Natural  (by genres),,0.0
2020,Social and biological,,1.6
2020,Fires,,12.8
2020,,Including children (0-17 years),1.7
2020,,18 years and over,12.9
2021,,,13.4
2021,Technogenic,,0.3
2021,Natural  (by genres),,0.0
2021,Social and biological,,0.0
2021,Fires,,13.1
2021,,Including children (0-17 years),0.1
2021,,18 years and over,13.3
2022,,,12.3
2022,Technogenic,,0.2
2022,Natural  (by genres),,0.0
2022,Social and biological,,0.0
2022,Fires,,11.8
2022,,Including children (0-17 years),0.0
2022,,18 years and over,12.3
