Year,Area of residence,Sex,Age group,Quintiles on consumption expenditures,Existence of disability,Value
2010,,,,,,
2010,Urban,,,,,
2010,Rural,,,,,
2010,,Men,,,,
2010,,Women,,,,
2010,,,0-17,,,
2010,,,18-29,,,
2010,,,30-39,,,
2010,,,40-49,,,
2010,,,50-59,,,
2010,,,60+,,,
2010,,,,I,,
2010,,,,II,,
2010,,,,III,,
2010,,,,IV,,
2010,,,,V,,
2010,,,,,People with disability,
2010,,,,,People without disability,
2011,,,,,,
2011,Urban,,,,,
2011,Rural,,,,,
2011,,Men,,,,
2011,,Women,,,,
2011,,,0-17,,,
2011,,,18-29,,,
2011,,,30-39,,,
2011,,,40-49,,,
2011,,,50-59,,,
2011,,,60+,,,
2011,,,,I,,
2011,,,,II,,
2011,,,,III,,
2011,,,,IV,,
2011,,,,V,,
2011,,,,,People with disability,
2011,,,,,People without disability,
2012,,,,,,
2012,Urban,,,,,
2012,Rural,,,,,
2012,,Men,,,,
2012,,Women,,,,
2012,,,0-17,,,
2012,,,18-29,,,
2012,,,30-39,,,
2012,,,40-49,,,
2012,,,50-59,,,
2012,,,60+,,,
2012,,,,I,,
2012,,,,II,,
2012,,,,III,,
2012,,,,IV,,
2012,,,,V,,
2012,,,,,People with disability,
2012,,,,,People without disability,
2013,,,,,,
2013,Urban,,,,,
2013,Rural,,,,,
2013,,Men,,,,
2013,,Women,,,,
2013,,,0-17,,,
2013,,,18-29,,,
2013,,,30-39,,,
2013,,,40-49,,,
2013,,,50-59,,,
2013,,,60+,,,
2013,,,,I,,
2013,,,,II,,
2013,,,,III,,
2013,,,,IV,,
2013,,,,V,,
2013,,,,,People with disability,
2013,,,,,People without disability,
2014,,,,,,21.478
2014,Urban,,,,,29.481
2014,Rural,,,,,15.723
2014,,Men,,,,22.651
2014,,Women,,,,20.444
2014,,,0-17,,,36.407
2014,,,18-29,,,28.537
2014,,,30-39,,,30.206
2014,,,40-49,,,19.644
2014,,,50-59,,,9.401
2014,,,60+,,,4.454
2014,,,,I,,35.64
2014,,,,II,,20.489
2014,,,,III,,19.098
2014,,,,IV,,15.752
2014,,,,V,,16.47
2014,,,,,People with disability,10.236
2014,,,,,People without disability,22.18
2015,,,,,,18.441
2015,Urban,,,,,27.14
2015,Rural,,,,,12.193
2015,,Men,,,,19.105
2015,,Women,,,,17.846
2015,,,0-17,,,33.373
2015,,,18-29,,,20.092
2015,,,30-39,,,29.2
2015,,,40-49,,,16.951
2015,,,50-59,,,6.664
2015,,,60+,,,4.795
2015,,,,I,,27.671
2015,,,,II,,17.782
2015,,,,III,,15.207
2015,,,,IV,,17.136
2015,,,,V,,14.421
2015,,,,,People with disability,8.855
2015,,,,,People without disability,19.222
2016,,,,,,18.893
2016,Urban,,,,,26.076
2016,Rural,,,,,13.722
2016,,Men,,,,19.866
2016,,Women,,,,18.046
2016,,,0-17,,,35.315
2016,,,18-29,,,22.298
2016,,,30-39,,,27.734
2016,,,40-49,,,16.016
2016,,,50-59,,,7.296
2016,,,60+,,,4.25
2016,,,,I,,29.441
2016,,,,II,,20.687
2016,,,,III,,15.487
2016,,,,IV,,14.55
2016,,,,V,,14.313
2016,,,,,People with disability,9.521
2016,,,,,People without disability,19.641
2017,,,,,,17.645
2017,Urban,,,,,24.546
2017,Rural,,,,,12.822
