Year,Classes of disasters,Age group,Sex,Value
2010,,,,
2010,Technogenic,,,
2010,Natural  (by genres),,,
2010,Social and biological,,,
2010,Fires,,,
2010,,0-17 years,,
2010,,18 years and over,,
2010,,,Men,
2010,,,Women,
2011,,,,
2011,Technogenic,,,
2011,Natural  (by genres),,,
2011,Social and biological,,,
2011,Fires,,,
2011,,0-17 years,,
2011,,18 years and over,,
2011,,,Men,
2011,,,Women,
2012,,,,
2012,Technogenic,,,
2012,Natural  (by genres),,,
2012,Social and biological,,,
2012,Fires,,,
2012,,0-17 years,,
2012,,18 years and over,,
2012,,,Men,
2012,,,Women,
2013,,,,0.0
2013,Technogenic,,,0.0
2013,Natural  (by genres),,,0.0
2013,Social and biological,,,0.0
2013,Fires,,,0.0
2013,,0-17 years,,0.0
2013,,18 years and over,,0.0
2013,,,Men,0.0
2013,,,Women,0.0
2014,,,,0.0
2014,Technogenic,,,0.0
2014,Natural  (by genres),,,0.0
2014,Social and biological,,,0.0
2014,Fires,,,0.0
2014,,0-17 years,,0.0
2014,,18 years and over,,0.0
2014,,,Men,0.0
2014,,,Women,0.0
2015,,,,0.0
2015,Technogenic,,,0.0
2015,Natural  (by genres),,,0.0
2015,Social and biological,,,0.0
2015,Fires,,,0.0
2015,,0-17 years,,0.0
2015,,18 years and over,,0.0
2015,,,Men,0.0
2015,,,Women,0.0
2016,,,,0.0
2016,Technogenic,,,0.0
2016,Natural  (by genres),,,0.0
2016,Social and biological,,,0.0
2016,Fires,,,0.0
2016,,0-17 years,,0.0
2016,,18 years and over,,0.0
2016,,,Men,0.0
2016,,,Women,0.0
2017,,,,0.0
2017,Technogenic,,,0.0
2017,Natural  (by genres),,,0.0
2017,Social and biological,,,0.0
2017,Fires,,,0.0
2017,,0-17 years,,0.0
2017,,18 years and over,,0.0
2017,,,Men,0.0
2017,,,Women,0.0
2018,,,,0.0
2018,Technogenic,,,0.0
2018,Natural  (by genres),,,0.0
2018,Social and biological,,,0.0
2018,Fires,,,0.0
2018,,0-17 years,,0.0
2018,,18 years and over,,0.0
2018,,,Men,0.0
2018,,,Women,0.0
2019,,,,0.0
2019,Technogenic,,,0.0
2019,Natural  (by genres),,,0.0
2019,Social and biological,,,0.0
2019,Fires,,,0.0
2019,,0-17 years,,0.0
2019,,18 years and over,,0.0
2019,,,Men,0.0
2019,,,Women,0.0
2020,,,,0.0
2020,Technogenic,,,0.0
2020,Natural  (by genres),,,0.0
2020,Social and biological,,,0.0
2020,Fires,,,0.0
2020,,0-17 years,,0.0
2020,,18 years and over,,0.0
2020,,,Men,0.0
2020,,,Women,0.0
2021,,,,0.0
2021,Technogenic,,,0.0
2021,Natural  (by genres),,,0.0
2021,Social and biological,,,0.0
2021,Fires,,,0.0
2021,,0-17 years,,0.0
2021,,18 years and over,,0.0
2021,,,Men,0.0
2021,,,Women,0.0
2022,,,,0.0
2022,Technogenic,,,0.0
2022,Natural  (by genres),,,0.0
2022,Social and biological,,,0.0
2022,Fires,,,0.0
2022,,0-17 years,,0.0
2022,,18 years and over,,0.0
2022,,,Men,0.0
2022,,,Women,0.0
2023,,,,0.0
2023,Technogenic,,,0.0
2023,Natural  (by genres),,,0.0
2023,Social and biological,,,0.0
2023,Fires,,,0.0
2023,,0-17 years,,0.0
2023,,18 years and over,,0.0
2023,,,Men,0.0
2023,,,Women,0.0
2024,,,,0.0
2024,Technogenic,,,0.0
2024,Natural  (by genres),,,0.0
2024,Social and biological,,,0.0
2024,Fires,,,0.0
2024,,0-17 years,,0.0
2024,,18 years and over,,0.0
2024,,,Men,0.0
2024,,,Women,0.0
