Year,Types of resources,Value
2010,,
2010,Boimass,
2010,Fossil fuels,
2010,Metal ores,
2010,Non-metalic minerals,
2011,,
2011,Boimass,
2011,Fossil fuels,
2011,Metal ores,
2011,Non-metalic minerals,
2012,,
2012,Boimass,
2012,Fossil fuels,
2012,Metal ores,
2012,Non-metalic minerals,
2013,,
2013,Boimass,
2013,Fossil fuels,
2013,Metal ores,
2013,Non-metalic minerals,
2014,,
2014,Boimass,
2014,Fossil fuels,
2014,Metal ores,
2014,Non-metalic minerals,
2015,,
2015,Boimass,
2015,Fossil fuels,
2015,Metal ores,
2015,Non-metalic minerals,
2016,,
2016,Boimass,
2016,Fossil fuels,
2016,Metal ores,
2016,Non-metalic minerals,
2017,,
2017,Boimass,
2017,Fossil fuels,
2017,Metal ores,
2017,Non-metalic minerals,
2018,,
2018,Boimass,
2018,Fossil fuels,
2018,Metal ores,
2018,Non-metalic minerals,
2019,,
2019,Boimass,
2019,Fossil fuels,
2019,Metal ores,
2019,Non-metalic minerals,
2020,,
2020,Boimass,
2020,Fossil fuels,
2020,Metal ores,
2020,Non-metalic minerals,
2021,,
2021,Boimass,
2021,Fossil fuels,
2021,Metal ores,
2021,Non-metalic minerals,
2022,,
2022,Boimass,
2022,Fossil fuels,
2022,Metal ores,
2022,Non-metalic minerals,
