Year,Types of crimes,Sex,Age group,Forms of violence,Value
2010,,,,,
2010,Intentional serious bodily harm (art.151),,,,
2010,Kidnapping a person (art.164),,,,
2010,Sexual assault (art. 171-1751),,,,
2010,Robbery (art. 187),,,,
2010,Brigandage (art. 189),,,,
2010,Blackmail (art 189),,,,
2010,Domestic violence (art.2011),,,,
2010,Hooliganism (art.287),,,,
2010,,Men,,,
2010,,Women,,,
2010,,,0-17 years,,
2010,,,18 years and over,,
2010,,,,Psychological violence,
2010,,,,Physical violence,
2010,,,,Sexual violence,
2011,,,,,
2011,Intentional serious bodily harm (art.151),,,,
2011,Kidnapping a person (art.164),,,,
2011,Sexual assault (art. 171-1751),,,,
2011,Robbery (art. 187),,,,
2011,Brigandage (art. 189),,,,
2011,Blackmail (art 189),,,,
2011,Domestic violence (art.2011),,,,
2011,Hooliganism (art.287),,,,
2011,,Men,,,
2011,,Women,,,
2011,,,0-17 years,,
2011,,,18 years and over,,
2011,,,,Psychological violence,
2011,,,,Physical violence,
2011,,,,Sexual violence,
2012,,,,,
2012,Intentional serious bodily harm (art.151),,,,
2012,Kidnapping a person (art.164),,,,
2012,Sexual assault (art. 171-1751),,,,
2012,Robbery (art. 187),,,,
2012,Brigandage (art. 189),,,,
2012,Blackmail (art 189),,,,
2012,Domestic violence (art.2011),,,,
2012,Hooliganism (art.287),,,,
2012,,Men,,,
2012,,Women,,,
2012,,,0-17 years,,
2012,,,18 years and over,,
2012,,,,Psychological violence,
2012,,,,Physical violence,
2012,,,,Sexual violence,
2013,,,,,
2013,Intentional serious bodily harm (art.151),,,,
2013,Kidnapping a person (art.164),,,,
2013,Sexual assault (art. 171-1751),,,,
2013,Robbery (art. 187),,,,
2013,Brigandage (art. 189),,,,
2013,Blackmail (art 189),,,,
2013,Domestic violence (art.2011),,,,
2013,Hooliganism (art.287),,,,
2013,,Men,,,
2013,,Women,,,
2013,,,0-17 years,,
2013,,,18 years and over,,
2013,,,,Psychological violence,
2013,,,,Physical violence,
2013,,,,Sexual violence,
2014,,,,,98.3
2014,Intentional serious bodily harm (art.151),,,,4.6
2014,Kidnapping a person (art.164),,,,1.5
2014,Sexual assault (art. 171-1751),,,,9.5
2014,Robbery (art. 187),,,,22.7
2014,Brigandage (art. 189),,,,2.2
2014,Blackmail (art 189),,,,1.2
2014,Domestic violence (art.2011),,,,30.3
2014,Hooliganism (art.287),,,,25.4
